,BRCA-A06N-01A,BRCA-A07S-01A,BRCA-A084-01A,BRCA-A08J-01A,BRCA-A08L-01A,BRCA-A091-01A,BRCA-A094-01A,BRCA-A09Z-01A,BRCA-A0AM-01A,BRCA-A0AS-01A,BRCA-A0BM-01A,BRCA-A0C3-01A,BRCA-A0CG-01A,BRCA-A0CT-01A,BRCA-A0D9-01A,BRCA-A0DC-01A,BRCA-A0DG-01A,BRCA-A0DL-01A,BRCA-A0EP-01A,BRCA-A0FJ-01A,BRCA-A0FS-01A,BRCA-A0HK-01A,BRCA-A0HP-01A,BRCA-A0HW-01A,BRCA-A0J5-01A,BRCA-A0JI-01A,BRCA-A0SB-01A,BRCA-A0SW-01A,BRCA-A0TP-01A,BRCA-A0TT-01A,BRCA-A0TY-01A,BRCA-A0XO-01A,BRCA-A0XR-01A,BRCA-A0XT-01A,BRCA-A0YF-01A,BRCA-A0YJ-01A,BRCA-A0YK-01A,BRCA-A0YT-01A,BRCA-A107-01A,BRCA-A109-01A,BRCA-A12M-01A,BRCA-A13E-01A,BRCA-A155-01A,BRCA-A1AH-01A,BRCA-A1AJ-01A,BRCA-A1AO-01A,BRCA-A1FW-01A,BRCA-A1IP-01A,BRCA-A1JM-01A,BRCA-A1P0-01A,BRCA-A1R2-01A,BRCA-A1XG-01A,BRCA-A1XZ-01A,BRCA-A22A-01A,BRCA-A22B-01A,BRCA-A24Q-01A,BRCA-A25D-01A,BRCA-A2DK-01A,BRCA-A2FG-01A,BRCA-A2FO-01A,BRCA-A2FS-01A,BRCA-A2QI-01A,BRCA-A3IZ-01A,BRCA-A3XW-01A,BRCA-A3Y0-01A,BRCA-A4SA-01A,BRCA-A5IZ-01A,BRCA-A66N-01A,BRCA-A74U-01A,BRCA-A0AU-11A,BRCA-A0AY-11A,BRCA-A0AZ-11A,BRCA-A0B2-11A,BRCA-A0B5-11A,BRCA-A0B7-11A,BRCA-A0B8-11A,BRCA-A0BA-11A,BRCA-A0BC-11A,BRCA-A0BJ-11A,BRCA-A0BM-11A,BRCA-A0BQ-11A,BRCA-A0BS-11A,BRCA-A0BT-11A,BRCA-A0BV-11A,BRCA-A0BW-11A,BRCA-A0BZ-11A,BRCA-A0C0-11A,BRCA-A0C3-11A,BRCA-A0CE-11A,BRCA-A0CH-11A,BRCA-A0D9-11A,BRCA-A0DB-11A,BRCA-A0DC-11A,BRCA-A0DD-11A,BRCA-A0DG-11A,BRCA-A0DH-11A,BRCA-A0DK-11A,BRCA-A0DL-11A,BRCA-A0DO-11A,BRCA-A0DP-11A,BRCA-A0DQ-11A,BRCA-A0DT-11A,BRCA-A0DV-11A,BRCA-A0DZ-11A,BRCA-A0E0-11A,BRCA-A0E1-11A,BRCA-A0H5-11A,BRCA-A0H7-11A,BRCA-A0HA-11A,BRCA-A0HK-11A,BRCA-A13E-11A,BRCA-A13F-11A,BRCA-A13G-11A,BRCA-A153-11A,BRCA-A158-11A,BRCA-A15I-11A,BRCA-A15K-11A,BRCA-A15M-11A,BRCA-A18J-11A,BRCA-A18K-11A,BRCA-A18L-11A,BRCA-A18M-11A,BRCA-A18N-11A,BRCA-A18P-11A,BRCA-A18Q-11A,BRCA-A18R-11A,BRCA-A18S-11A,BRCA-A18U-11A,BRCA-A18V-11A,BRCA-A1BC-11A,BRCA-A1EN-11A,BRCA-A1EO-11A,BRCA-A1EU-11A,BRCA-A1EV-11A,BRCA-A1F2-11A,BRCA-A1FB-11A,BRCA-A1FC-11A,BRCA-A1FN-11A,BRCA-A1FU-11A,BRCA-A1IG-11A,BRCA-A1L7-11A,BRCA-A1LB-11A,BRCA-A1LH-11A,BRCA-A1LS-11A,BRCA-A1N4-11A,BRCA-A1N5-11A,BRCA-A1N6-11A,BRCA-A1N9-11A,BRCA-A1NA-11A,BRCA-A1ND-11A,BRCA-A1NF-11A,BRCA-A1NG-11A,BRCA-A1R7-11A,BRCA-A1RB-11A,BRCA-A1RC-11A,BRCA-A1RD-11A,BRCA-A1RF-11A,BRCA-A1RH-11A,BRCA-A1RI-11A,BRCA-A203-11A,BRCA-A204-11A,BRCA-A208-11A,BRCA-A209-11A,BRCA-A23H-11A,BRCA-A2C8-11A,BRCA-A2C9-11A,BRCA-A2FB-11A,BRCA-A2FF-11A
KEGG_ASCORBATE_AND_ALDARATE_METABOLISM,0.147975491632062,0.0407390165649323,0.0383286890255291,0.272815510997273,0.0344715047096879,0.182564292200345,0.0467858354092376,0.0285289968908197,0.0690980323403669,0.0552735842195005,0.0135999692524669,0.0010902998243588,0.0166791903746169,0.131228733771919,0.0103536356709993,0.00850477581357096,0.0267795848788842,0.00804389658747558,0.0356172799517838,0.0600207284752771,0.178360302425874,0,0.0105835264697467,0.199809086085101,0.0246057268858918,0.430432152396027,0.0241474741455386,0.140402928680665,0.0467098841978437,0.0282835208867486,0.053127864988258,0.0180906562184367,0.0597565509412069,0.0233184528478279,0.0118477872285699,0.0392275293607365,0.0308361016966921,0.0189315672770056,0.00944677737524643,0.0237116450824282,0.0252291266578009,0.0590664887396078,0.0240351830710713,0.0516747442499885,0.0347443639973276,0.0253434892011825,1,0.0422184321893775,0.0552735842195005,0.0474330472900329,0.0128447722448486,0.0433758497372373,0.102472603764116,0.0333718469018553,0.0115083513129182,0.0474209970327898,0.0226200608591443,0.0161186656087262,0.0165809800691117,0.0134237249324722,0.028839170491443,0.0277494510067469,0.186598835942721,0.0421546693588508,0.050126585225186,0.0278969675563639,0.0449961950741733,0.0263150457975858,0.0298396224529569,0.019536389200986,0,0.0175022109756533,0.0171745892780877,0,0.021017000353689,0,0.00176962016057823,0.0104513354151968,0.0167936589121122,0.0152536651486319,0.0380766745114109,0.0170783307878145,0.0115771267104706,0.00988787808827993,0.0230279283846419,0.00144853162444699,0.0107417895006937,0.0222796675416291,0.0280866953585374,0.0023198838755118,0,0,0,0,0.00949433572108219,0.0037333737598127,0.0178203903562459,0.00996671802640867,0.010324696363274,0.00801380338527037,0.00936752508794735,0.0244093152753745,0.0155836060777387,0.0204028193949172,0.00391255504395376,0.0107845086812381,0.0113558274936334,0.00216465156330075,0.0176067923707151,0.0120232223970178,0,0,0,0.0185957171322083,0.032783622183589,0,0.0116521360131078,0.00969771823460499,0.0179072539670596,0.00978047407390959,0.00661431608892087,0.00884781031228851,0.0184472433223693,0,0.00758622838519444,0.0075597075460282,0.0058863109755485,0.013797263777675,0.0099650851523641,0,0.00496844874129627,0.00075468116685966,0.0122608861043604,0.00739520585948963,0,0.0169828737420052,0.0146196914280702,0.015621600422075,0.00876382302106148,0,0.0151565719569989,0.0216892715627113,0.0128531528840162,0,0.0173332612072263,0.0295810606716011,0.00824159132195119,0.0112747103902153,0.00756851117125011,0.0107163037548481,0.0028143536989798,0.004880180402594,0.000732441056241578,0.00847482018772381,0,0,0,0,0,0.00974151652204405,0.00282282413698524,0.0244476380143395,0.0110664855579112,0.00879685770063569,0.0159670729447927,0.0168425940721488,0.00674391198901015,0.0242085808299743
KEGG_PRIMARY_BILE_ACID_BIOSYNTHESIS,0.557045630606723,0.608027079689838,0.710894257036664,0.638925664277047,0.458593993385328,0.680959900146847,0.300419015818886,0.752059987758552,0.512378364733526,0.52718909120759,0.334042635474124,0.308696999668562,0.302269881246822,0.575228495147275,0.921144811794216,0.578699286189592,0.440059692686282,0.16214321113987,0.373903329385218,0.294847668321885,0.399303693626402,0.40947606311969,0.395755355373307,0.644749032607277,0.425873857323035,0.772402520473008,0.118320454170933,0.524644147171945,0.206286576548746,0.617359849493891,0.844817357230111,0.719616655674906,0.608027079689838,0.530477569300375,0.573135390634394,0.161708726667598,0.12684887150374,0.652248518663035,0.465334987899489,0.629692479275739,0.662943243797882,0.188589619351802,0.809978454081011,0.107741354528724,0.302837867515955,0.318362286081357,1,0.225503569835689,0.497542126155618,0.646847537555905,0.586161987396155,0.707204761295678,0.780549688532394,0.522165244213368,0.800478827222609,0.144011616599572,0.632202975807874,0.422893489127517,0.319932367264178,0.422015491325515,0.430231945061633,0.527295147109316,0.840620312424645,0.549053703189468,0.322832490861184,0.488963330250391,0.517801149313441,0.442538120737639,0.381891026095227,0.202442568700256,0.148099880287675,0.149982074207464,0.20907890774596,0,0.171342153335209,0,0.0374573959641384,0.0663023288638721,0.190574372034851,0.211169448090577,0.148184380672879,0.190387556373754,0.183115002203958,0.118706139196718,0.077543849505734,0.0587624503380571,0.17392882316057,0.15368962655018,0.291641001140919,0.362425675320769,0,0.347964964908141,0.0152688758003217,0,0.136957817433622,0.243434014479373,0.173253741707716,0.181839105345691,0.17111225529343,0.189417279515524,0.186551610839604,0.142491046395329,0.150700061733595,0.344972402980403,0.289728348148693,0.20025879519641,0.174038602909294,0.284102024877644,0.155593914527241,0.252190279481676,0,0.255601024713544,0.087029878294854,0.194424171611375,0.0067408935683759,0.129308986614132,0.384528597377482,0.0478979898595597,0.109390191276584,0.184552171351814,0.0391040045729489,0.0500643876441684,0.0891845228671763,0.114544024405491,0.128406649112896,0.164196824758504,0.272858122325835,0.167667099972423,0.298290917818439,0.105655761510078,0.066833105365901,0.328349575156481,0.13959001674082,0.131072319266679,0.0719654309487863,0.193578454808017,0.0270442625604045,0.152293585358488,0.166110673477093,0.0191889100716302,0.199177567061517,0.202442568700256,0.216199779760922,0.0536996125899107,0.150700061733595,0.203952155968279,0.0849385222927125,0.168891602437572,0,0.384718024534551,0.389463741615315,0,0,0.155168127198043,0.0347730068638676,0,0,0.0387099292146703,0.0301089907611949,0.11451036047508,0.00927376017607553,0.150700061733595,0.106852837104971,0.144268694357702,0.860630996395351,0.0400293385270868,0.226799628109065,0.207079688012521
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION,0.65469219215371,0.706226520585063,0.743304528647989,0.717984748252067,0.947831620249344,0.680179075019506,0.865432197489218,0.699324226481067,0.843503374797499,0.829857924323197,0.56407240371458,0.685623614005633,0.557418992804642,0.696298550299769,0.657921522526083,0.600610608695345,0.828036120754375,0.898634944631081,0.806292642931366,0.952149928431263,0.608948874735292,0.610407277468297,0.584743544316209,0.678970679256662,0.751540366498193,0.603193506899421,0.459869713816059,0.796573148111003,0.904887617825568,0.846576661196698,0.6736039047149,0.650305645002689,0.728328516530319,0.787833325490983,0.619849812697233,1,0.524319094321469,0.636248522833852,0.65469219215371,0.77178853016034,0.630741357054593,1,0.640726422698314,1,0.973663855256703,0.908680818296553,0.687457809337029,0.906870122477278,1,0.611438647535102,0.669124318758105,0.801864263390197,0.621022048195819,0.860074154364551,0.765424086525598,1,0.655397861759395,0.742219677377683,0.571409514121422,0.633237831473309,0.68789052361359,0.727053628706468,0.692771269302071,0.774293246550561,0.955398246390994,0.752952196264339,0.91881571084667,0.713611601883033,0.721511521547287,0.505760811904209,0.4331470385798,0.498159744391836,0.438120842943427,0.110243643989673,0.512526616302845,0.179087911031364,0.441143879331392,0.436587308543293,0.474576813337403,0.468584149190202,0.468487327630504,0.473569526029023,0.50960824395461,0.461900354830378,0.862278041461272,0.376957749898591,0.489430415525171,0.492755213175193,0.527366808552842,0.395862818924921,0.261713688070612,0.289129990992273,0.369442659211325,0.281293438534109,0.465086080721858,0.414806735920194,0.546750576795387,0.425098165107654,0.464244120957438,0.511478500336867,0.495571722719615,0.509687765878979,0.480561247391181,0.603541548179281,0.513913498713088,0.496741426855239,0.487604471986449,0.512681427965232,0.487227837559166,0.478470212976956,0.304779685965611,0.343704830129601,0,0.548092898787145,0.259459324932443,0.0745427741789127,0.777107780238278,0.413909398610249,0.437226247172588,0.443970197530687,0.389827211606708,0.427851313270295,0.436606784051267,0.0808068885421416,0.476812070425675,0.409408739506518,0.40496520864522,0.479420975286906,0.46355996129149,0.0103539128487969,0.315592452955213,0.298721874605252,0.458454482315894,0.420823107957372,0.216289921146521,0.495571722719615,0.455660646757016,0.430002992308387,0.470707610303022,0.341109887129867,0.510887904804465,0.491518212794037,0.506379024655841,0.0791353150354236,0.487398012663908,0.533757515702231,0.415415896436416,0.513554518683304,0.371235205071713,0.379184044150025,0.328188292683255,0.350217499545593,0.311919039192651,0.300214364937962,0.212198612694454,0.279458067960562,0.234619732395464,0.132585712718057,0.234619732395464,0.376341889403763,0.283372774326479,0.461752195963337,0.406957065470224,0.398709629719999,0.303304644689526,0.452867708833648,0.412072386834668,0.517604067312647
KEGG_ONE_CARBON_POOL_BY_FOLATE,0.346055767808513,0.37585156735,0.387394093460258,0.397258080300431,0.751242522859195,0.332609976979105,0.488939120543717,0.416656642779365,0.530637340783701,0.42765856095861,0.329150597096906,0.302296222908601,0.395688126389436,0.426892380147482,0.28144338488977,0.386357293476676,0.368998154943634,0.469235365933945,0.325168306790181,1,0.342509521138,0.37861646399286,0.3902958937744,0.435112953637878,0.382634661300812,0.334777145260129,0.549796206418892,0.426892380147482,0.503226484419069,0.438589681758916,0.626807076794397,0.379277377876048,0.392390071885873,0.315927265233852,0.425442734454429,0.721669069273894,0.283544328557543,0.462573180159173,0.379554658732099,0.437311848450481,0.401077845793998,0.826615110231085,0.403350769919701,0.607478024725929,0.654659964304433,0.471212609401859,0.360547334710812,0.519857209023362,0.572194686996364,0.409759757443534,0.304592456948694,0.319612506062571,0.542058211304564,0.458313458204538,0.455709582081231,0.879210376385736,0.472996790354794,0.344575869137314,0.321090631843197,0.320507189318942,0.370574548218397,0.358227444259851,0.362880777592109,0.348318715415282,0.656713446186639,0.34392514083105,0.55734357885745,0.354893711111088,0.344056022095451,0.255322669325656,0.21697507212566,0.257088310192362,0.290312140203088,0.0296829480022144,0.267253035211558,0.0609554062227912,0.238930612517403,0.25069208588942,0.245752972554036,0.274415294501858,0.270714136587939,0.26650352739905,0.284013550659464,0.260125928962861,0.278667149185722,0.197134699178959,0.260414973425527,0.242891558880437,0.298496031551238,0.192815957267397,0.070374705556644,0.159974274400839,0.179013586289146,0.082845100576237,0.248745230731688,0.20814064743195,0.307236668155632,0.238212883015912,0.238790156679188,0.239766682979114,0.284745963638782,0.261724273981167,0.267253035211558,0.37607259466865,0.357563902555895,0.277519526219934,0.248591510275797,0.32879207147604,0.253556173057578,0.275439073092156,0.149986907166103,0.188927697079165,0.0602539604308745,0.269442747098029,0.135022495763175,0.104903034047485,0.1904363000276,0.226126793675702,0.241294995792161,0.229366700842966,0.177343255475615,0.235150158204657,0.225451220148118,0.117888912668416,0.243475006017051,0.203276816806929,0.231311849650775,0.260872854688301,0.236613069633388,0,0.166434539388472,0.164770940220142,0.239746347275148,0.249696433962831,0.143495540361789,0.267253035211558,0.275068900299962,0.26193815334701,0.244511989883605,0.169166257864536,0.282618401997247,0.256727356941809,0.264173099802115,0.0188377639893223,0.253608960676352,0.293687046599127,0.226335203649491,0.272167815254556,0.177363035004211,0.209438385617691,0.122225096064348,0.142047232195355,0.109478146812168,0.138959813110774,0.0573106426268869,0.129141981100145,0.0646465244565633,0.0830976818365894,0.0802681097285455,0.200204221233646,0.125403690396178,0.241835485916756,0.234488033853913,0.217336747276979,0.139647925497609,0.242024713037069,0.216016489054639,0.330612431175131
