country,province,lng,lat,type
China,Liaoning,122.432688,41.02661637,Landrace
China,Jiangsu,119.4202646,32.87193726,Landrace
China,Shanxi,112.5318474,37.42189233,Landrace
China,Jiangsu,119.4202646,32.87193726,Landrace
China,Shanxi,112.5318474,37.42189233,Landrace
China,Shandong,118.306543,36.21946161,Landrace
China,Guizhou,106.403908,26.64928937,Landrace
China,Innermongolia,111.77261,40.82316,Landrace
China,Shanxi,112.5318474,37.42189233,Landrace
China,Hunan,112.2692407,27.68036139,Landrace
China,Fujian,118.1997384,25.86163934,Landrace
China,Shanxi,112.5318474,37.42189233,Landrace
China,Fujian,118.1997384,25.86163934,Landrace
China,Shandong,118.306543,36.21946161,Landrace
China,Jiangsu,119.4202646,32.87193726,Landrace
China,Jiangxi,115.6609226,28.05684568,Landrace
China,Fujian,118.1997384,25.86163934,Landrace
China,Fujian,118.1997384,25.86163934,Landrace
China,Liaoning,122.432688,41.02661637,Landrace
China,Jiangsu,119.4202646,32.87193726,Landrace
China,Jiangsu,119.4202646,32.87193726,Landrace
North Korea,Hamgyong Puk,125.5,39.5,Landrace
China,Jilin,126.2004839,43.52955854,Landrace
Japan,Hokkaido,142.1570028,42.95219894,Landrace
Japan,Saitama,139.4910616,35.91769004,Landrace
Japan,Saitama,139.4910616,35.91769004,Landrace
South Korea,Kyonggi,126.2657095,35.86166,Landrace
South Korea,Kyonggi,126.2657095,35.86166,Landrace
Japan,Akita,140.0899914,39.70999086,Landrace
China,Liaoning,122.432688,41.02661637,Landrace
United States,Illinois,-89.08164553,40.53742615,Improved cultivar
China,Zhejiang,120.460162,29.42813494,Landrace
China,Jiangsu,119.4202646,32.87193726,Landrace
China,Fujian,118.1997384,25.86163934,Landrace
China,Shaanxi,108.9440811,34.69399647,Landrace
China,Innermongolia,111.77261,40.82316,Landrace
China,Jilin,126.2004839,43.52955854,Landrace
China,Jilin,126.2004839,43.52955854,Landrace
China,Heilongjiang,127.4950672,46.832384,Landrace
China,Heilongjiang,127.4950672,46.832384,Landrace
China,Shandong,118.306543,36.21946161,Landrace
China,Yunnan,101.9711517,24.95042481,Landrace
China,Yunnan,101.9711517,24.95042481,Landrace
China,Guizhou,106.403908,26.64928937,Landrace
China,Guizhou,106.403908,26.64928937,Landrace
China,Hunan,112.2692407,27.68036139,Landrace
China,Sichuan,104.2350401,29.97066693,Landrace
United States,Illinois,-89.08164553,40.53742615,Landrace
United States,Illinois,-89.08164553,40.53742615,Landrace
China,Guangdong,113.5623538,23.11653699,Improved cultivar
China,Hubei,112.8435465,31.02783922,Improved cultivar
China,Hubei,112.8435465,31.02783922,Landrace
China,Anhui,117.1849453,32.18472355,Landrace
China,Jiangsu,119.4202646,32.87193726,Landrace
China,Shandong,118.306543,36.21946161,Landrace
China,Hebei,116.0792994,38.69639156,Landrace
China,Shaanxi,108.9440811,34.69399647,Landrace
China,Ningxia,106.5210327,38.85062472,Landrace
China,Gansu,100.727585,36.95455756,Landrace
China,Gansu,100.727585,36.95455756,Landrace
China,Jiangxi,115.6609226,28.05684568,Landrace
China,Heilongjiang,127.4950672,46.832384,Landrace
China,Jiangsu,119.4202646,32.87193726,Landrace
United States,Tennessee,-86.21460391,35.83592285,Landrace
North Korea,Pyongyang,125.7546907,39.0194387,Landrace
China,Jiangsu,119.4202646,32.87193726,Landrace
Italy,Naples,14.3326,40.9019,Landrace
China,Jilin,126.2004839,43.52955854,Landrace
China,Beijing,116.1242191,39.8979036,Improved cultivar
China,Liaoning,122.432688,41.02661637,Landrace
China,Liaoning,122.432688,41.02661637,Landrace
China,Heilongjiang,127.4950672,46.832384,Landrace
United States,Illinois,-89.08164553,40.53742615,Landrace
China,Northeast,127.745,45.163,Landrace
Japan,Honshu,139.708,35.69,Landrace
Canada,Ontario,-83.33213782,47.34898525,Landrace
United States,Illinois,-89.08164553,40.53742615,Landrace
United States,Illinois,-89.08164553,40.53742615,Improved cultivar
United States,Illinois,-89.08164553,40.53742615,Landrace
Japan,Hokkaido,142.1570028,42.95219894,Landrace
China,Jilin,126.2004839,43.52955854,Improved cultivar
China,Northeast,127.745,45.163,Landrace
Russia,Primorye,133.3773624,44.18742816,Improved cultivar
South Korea,ChollaPuk,126.6755,36.5677,Improved cultivar
Japan,Kumamoto,130.700642,32.80092938,Improved cultivar
Japan,Kumamoto,130.700642,32.80092938,Landrace
Japan,Kinki,133.9877,33.4233,Landrace
South Korea,ChollaPuk,126.6755,36.5677,Landrace
South Korea,Kyonggi,126.2657095,35.86166,Landrace
China,Jilin,126.2004839,43.52955854,Landrace
South Korea,Cheju,126.08,36.06,Landrace
South Korea,Kyonggi,126.2657095,35.86166,Landrace
South Korea,Kangwon,127.3562,36.0219,Landrace
India,Uttar Pradesh,79.55692071,27.52588738,Landrace
Japan,Hokkaido,142.1570028,42.95219894,Landrace
Japan,Hokkaido,142.1570028,42.95219894,Landrace
China,Jiangsu,119.4202646,32.87193726,Landrace
China,Hubei,112.8435465,31.02783922,Landrace
China,Ningxia,106.5210327,38.85062472,Landrace
China,Hebei,116.0792994,38.69639156,Landrace
China,Heilongjiang,127.4950672,46.832384,Landrace
China,Jilin,126.2004839,43.52955854,Landrace
China,Hubei,112.8435465,31.02783922,Landrace
China,Shanxi,112.5318474,37.42189233,Landrace
China,Shanxi,112.5318474,37.42189233,Landrace
China,Hunan,112.2692407,27.68036139,Landrace
China,Hubei,112.8435465,31.02783922,Landrace
China,Jilin,126.2004839,43.52955854,Landrace
China,Heilongjiang,127.4950672,46.832384,Landrace
China,Guangdong,113.5623538,23.11653699,Landrace
China,Shandong,118.306543,36.21946161,Landrace
United States,Iowa,-93.02436574,42.01446999,Landrace
China,Fujian,118.1997384,25.86163934,Landrace
China,Hubei,112.8435465,31.02783922,Landrace
China,Hebei,116.0792994,38.69639156,Landrace
China,Shanxi,112.5318474,37.42189233,Landrace
China,Jilin,126.2004839,43.52955854,Landrace
China,Zhejiang,120.460162,29.42813494,Landrace
China,Jiangsu,119.4202646,32.87193726,Landrace
China,Jilin,126.2004839,43.52955854,Landrace
China,Hubei,112.8435465,31.02783922,Landrace
China,Shanxi,112.5318474,37.42189233,Landrace
China,Beijing,116.1242191,39.8979036,Landrace
China,Shandong,118.306543,36.21946161,Landrace
China,Hebei,116.0792994,38.69639156,Landrace
China,Beijing,116.1242191,39.8979036,Landrace
China,Beijing,116.1242191,39.8979036,Landrace
China,Beijing,116.1242191,39.8979036,Landrace
China,Beijing,116.1242191,39.8979036,Landrace
China,Tibet,91.12434,29.65289,Landrace
China,Shandong,118.306543,36.21946161,Improved cultivar
China,Liaoning,122.432688,41.02661637,Landrace
China,Taiwan,121.52,25.0307,Landrace
China,Heilongjiang,127.4950672,46.832384,Landrace
China,Heilongjiang,127.4950672,46.832384,Landrace
China,Heilongjiang,127.4950672,46.832384,Landrace
China,Heilongjiang,127.4950672,46.832384,Landrace
China,Sichuan,104.2350401,29.97066693,Landrace
China,Shandong,118.306543,36.21946161,Improved cultivar
China,Shandong,118.306543,36.21946161,Landrace
China,Heilongjiang,127.4950672,46.832384,Landrace
United States,Illinois,-89.08164553,40.53742615,Improved cultivar
Canada,Ontario,-83.33213782,47.34898525,Improved cultivar
Canada,Ontario,-83.33213782,47.34898525,Improved cultivar
Canada,Ontario,-83.33213782,47.34898525,Improved cultivar
Canada,Ontario,-83.33213782,47.34898525,Improved cultivar
United States,Georgia,-83.40522629,32.61174541,Improved cultivar
United States,South Carolina,-80.93021716,33.9468758,Improved cultivar
United States,North Carolina,-79.05944203,35.49299697,Improved cultivar
Canada,Ontario,-83.33213782,47.34898525,Improved cultivar
Canada,Ontario,-83.33213782,47.34898525,Improved cultivar
Canada,Ontario,-83.33213782,47.34898525,Improved cultivar
United States,Ohio,-82.7972196,40.53261876,Improved cultivar
United States,Illinois,-89.08164553,40.53742615,Improved cultivar
United States,Missouri,-92.72161083,38.55761172,Improved cultivar
United States,Indiana,-86.22242581,40.15570563,Improved cultivar
Canada,Ontario,-83.33213782,47.34898525,Improved cultivar
Canada,Ontario,-83.33213782,47.34898525,Improved cultivar
United States,Ohio,-82.7972196,40.53261876,Improved cultivar
United States,Iowa,-93.02436574,42.01446999,Improved cultivar
United States,Iowa,-93.02436574,42.01446999,Improved cultivar
United States,Iowa,-93.02436574,42.01446999,Improved cultivar
United States,Indiana,-86.22242581,40.15570563,Improved cultivar
United States,Illinois,-89.08164553,40.53742615,Improved cultivar
United States,Illinois,-89.08164553,40.53742615,Improved cultivar
United States,Illinois,-89.08164553,40.53742615,Improved cultivar
United States,Illinois,-89.08164553,40.53742615,Improved cultivar
United States,Illinois,-89.08164553,40.53742615,Improved cultivar
United States,Illinois,-89.08164553,40.53742615,Improved cultivar
United States,Illinois,-89.08164553,40.53742615,Improved cultivar
United States,Illinois,-89.08164553,40.53742615,Improved cultivar
United States,Illinois,-89.08164553,40.53742615,Improved cultivar
Canada,Ontario,-83.33213782,47.34898525,Improved cultivar
United States,Minnesota,-93.65776931,45.81776333,Improved cultivar
United States,Ohio,-82.7972196,40.53261876,Improved cultivar
United States,Ohio,-82.7972196,40.53261876,Improved cultivar
United States,Illinois,-89.08164553,40.53742615,Improved cultivar
United States,Arkansas,-92.63030748,34.85649125,Improved cultivar
China,Jilin,126.2004839,43.52955854,Improved cultivar
United States,Virginia,-78.306907,37.56028573,Improved cultivar
United States,Kentucky,-86.08618496,37.67359578,Improved cultivar
United States,Minnesota,-93.65776931,45.81776333,Improved cultivar
United States,North Carolina,-79.05944203,35.49299697,Improved cultivar
United States,Minnesota,-93.65776931,45.81776333,Improved cultivar
China,Jiangsu,119.4202646,32.87193726,Improved cultivar
China,Shandong,118.306543,36.21946161,Improved cultivar
China,Liaoning,122.432688,41.02661637,Improved cultivar
China,Liaoning,122.432688,41.02661637,Improved cultivar
China,Liaoning,122.432688,41.02661637,Improved cultivar
China,Liaoning,122.432688,41.02661637,Improved cultivar
China,Liaoning,122.432688,41.02661637,Improved cultivar
China,Jilin,126.2004839,43.52955854,Improved cultivar
China,Shanxi,112.5318474,37.42189233,Improved cultivar
China,Shanxi,112.5318474,37.42189233,Improved cultivar
China,Shanxi,112.5318474,37.42189233,Improved cultivar
China,Shanxi,112.5318474,37.42189233,Improved cultivar
China,Shanxi,112.5318474,37.42189233,Improved cultivar
China,Shanxi,112.5318474,37.42189233,Improved cultivar
China,Jilin,126.2004839,43.52955854,Improved cultivar
China,Heilongjiang,127.4950672,46.832384,Improved cultivar
China,Heilongjiang,127.4950672,46.832384,Improved cultivar
China,Heilongjiang,127.4950672,46.832384,Improved cultivar
China,Heilongjiang,127.4950672,46.832384,Improved cultivar
China,Shandong,118.306543,36.21946161,Improved cultivar
China,Guangxi,108.9714492,23.22861961,Improved cultivar
China,Shanxi,112.5318474,37.42189233,Improved cultivar
China,Shanxi,112.5318474,37.42189233,Improved cultivar
China,Shanxi,112.5318474,37.42189233,Improved cultivar
China,Shanxi,112.5318474,37.42189233,Improved cultivar
China,Shanxi,112.5318474,37.42189233,Improved cultivar
China,Shanxi,112.5318474,37.42189233,Improved cultivar
China,Shanxi,112.5318474,37.42189233,Improved cultivar
China,Shanxi,112.5318474,37.42189233,Improved cultivar
China,Heilongjiang,127.4950672,46.832384,Improved cultivar
China,Heilongjiang,127.4950672,46.832384,Improved cultivar
China,Heilongjiang,127.4950672,46.832384,Improved cultivar
China,Jilin,126.2004839,43.52955854,Improved cultivar
China,Jilin,126.2004839,43.52955854,Improved cultivar
China,Jilin,126.2004839,43.52955854,Improved cultivar
China,Hebei,116.0792994,38.69639156,Improved cultivar
China,North,115.97,37.316,Improved cultivar
China,Heilongjiang,127.4950672,46.832384,Improved cultivar
China,Heilongjiang,127.4950672,46.832384,Improved cultivar
China,North,115.97,37.316,Improved cultivar
China,Jiangsu,119.4202646,32.87193726,Improved cultivar
China,North,115.97,37.316,Improved cultivar
China,Taiwan,121.52,25.0307,Improved cultivar
United States,Iowa,-93.02436574,42.01446999,Improved cultivar
China,Hebei,116.0792994,38.69639156,Improved cultivar
China,Gansu,100.727585,36.95455756,Improved cultivar
China,Shaanxi,108.9440811,34.69399647,Improved cultivar
China,Shandong,118.306543,36.21946161,Improved cultivar
China,Shanxi,112.5318474,37.42189233,Improved cultivar
China,Liaoning,122.432688,41.02661637,Improved cultivar
China,Hebei,116.0792994,38.69639156,Improved cultivar
China,Shandong,118.306543,36.21946161,Improved cultivar
China,Gansu,100.727585,36.95455756,Improved cultivar
China,Sichuan,104.2350401,29.97066693,Improved cultivar
United States,Indiana,-86.22242581,40.15570563,Improved cultivar
China,Sichuan,104.2350401,29.97066693,Improved cultivar
China,Sichuan,104.2350401,29.97066693,Landrace
China,Sichuan,104.2350401,29.97066693,Improved cultivar
China,Heilongjiang,127.4950672,46.832384,Improved cultivar
China,Heilongjiang,127.4950672,46.832384,Landrace
China,Heilongjiang,127.4950672,46.832384,Landrace
Japan,Hokkaido,142.1570028,42.95219894,Landrace
China,Beijing,116.1242191,39.8979036,Improved cultivar
China,South,110.76,22.56,Improved cultivar
China,Henan,113.8272082,34.36243452,Improved cultivar
China,Henan,113.8272082,34.36243452,Landrace
China,North,115.97,37.316,Landrace
China,Liaoning,122.432688,41.02661637,Landrace
China,Shanxi,112.5318474,37.42189233,Landrace
China,Jiangsu,119.4202646,32.87193726,Landrace
China,Henan,113.8272082,34.36243452,Landrace
China,Jilin,126.2004839,43.52955854,Landrace
China,Beijing,116.1242191,39.8979036,Landrace
China,Shaanxi,108.9440811,34.69399647,Landrace
China,Hebei,116.0792994,38.69639156,Improved cultivar
China,Hebei,116.0792994,38.69639156,Landrace
China,Hebei,116.0792994,38.69639156,Landrace
China,Shandong,118.306543,36.21946161,Landrace
China,Jilin,126.2004839,43.52955854,Improved cultivar
China,Jilin,126.2004839,43.52955854,Improved cultivar
China,Shanxi,112.5318474,37.42189233,Improved cultivar
China,Shanxi,112.5318474,37.42189233,Landrace
China,Shanxi,112.5318474,37.42189233,Landrace
China,Xinjiang,84.44030035,42.6698748,Landrace
China,Xinjiang,84.44030035,42.6698748,Landrace
China,Henan,113.8272082,34.36243452,Landrace
China,Henan,113.8272082,34.36243452,Landrace
China,Hebei,116.0792994,38.69639156,Landrace
China,Liaoning,122.432688,41.02661637,Landrace
China,South,110.76,22.56,Landrace
China,Liaoning,122.432688,41.02661637,Landrace
China,Hebei,116.0792994,38.69639156,Landrace
China,Hebei,116.0792994,38.69639156,Improved cultivar
China,South,110.76,22.56,Landrace
China,Anhui,117.1849453,32.18472355,Improved cultivar
China,Shandong,118.306543,36.21946161,Improved cultivar
China,Innermongolia,111.77261,40.82316,Landrace
China,Hebei,116.0792994,38.69639156,Landrace
China,Shandong,118.306543,36.21946161,Landrace
China,Liaoning,122.432688,41.02661637,Landrace
China,Hebei,116.0792994,38.69639156,Improved cultivar
China,Shaanxi,108.9440811,34.69399647,Improved cultivar
China,Liaoning,122.432688,41.02661637,Improved cultivar
China,South,110.76,22.56,Landrace
China,Beijing,116.1242191,39.8979036,Landrace
China,Liaoning,122.432688,41.02661637,Landrace
China,Henan,113.8272082,34.36243452,Landrace
China,Hebei,116.0792994,38.69639156,Landrace
China,Innermongolia,111.77261,40.82316,Landrace
China,Hebei,116.0792994,38.69639156,Landrace
China,Heilongjiang,127.4950672,46.832384,Landrace
China,Heilongjiang,127.4950672,46.832384,Landrace
China,Heilongjiang,127.4950672,46.832384,Landrace
China,Heilongjiang,127.4950672,46.832384,Landrace
China,Heilongjiang,127.4950672,46.832384,Landrace
China,Heilongjiang,127.4950672,46.832384,Landrace
China,Heilongjiang,127.4950672,46.832384,Landrace
China,North,115.97,37.316,Landrace
China,Jilin,126.2004839,43.52955854,Landrace
China,Beijing,116.1242191,39.8979036,Landrace
China,Hebei,116.0792994,38.69639156,Landrace
China,Henan,113.8272082,34.36243452,Landrace
China,Beijing,116.1242191,39.8979036,Landrace
China,Heilongjiang,127.4950672,46.832384,Landrace
China,Shanxi,112.5318474,37.42189233,Landrace
China,Shanxi,112.5318474,37.42189233,Landrace
China,Shanxi,112.5318474,37.42189233,Landrace
China,Shanxi,112.5318474,37.42189233,Landrace
China,Liaoning,122.432688,41.02661637,Landrace
China,Shanghai,121.4365047,31.21645245,Improved cultivar
China,Shandong,118.306543,36.21946161,Landrace
China,Anhui,117.1849453,32.18472355,Improved cultivar
China,Anhui,117.1849453,32.18472355,Improved cultivar
China,Shandong,118.306543,36.21946161,Improved cultivar
China,Sichuan,104.2350401,29.97066693,Improved cultivar
China,Jiangsu,119.4202646,32.87193726,Improved cultivar
China,Jiangsu,119.4202646,32.87193726,Improved cultivar
China,Jiangsu,119.4202646,32.87193726,Improved cultivar
China,Guangxi,108.9714492,23.22861961,Landrace
China,Anhui,117.1849453,32.18472355,Landrace
China,Hebei,116.0792994,38.69639156,Landrace
China,Hebei,116.0792994,38.69639156,Improved cultivar
China,Shandong,118.306543,36.21946161,Landrace
China,Shandong,118.306543,36.21946161,Improved cultivar
China,Heilongjiang,127.4950672,46.832384,Landrace
China,Heilongjiang,127.4950672,46.832384,Landrace
China,Heilongjiang,127.4950672,46.832384,Improved cultivar
China,Heilongjiang,127.4950672,46.832384,Improved cultivar
China,Jilin,126.2004839,43.52955854,Improved cultivar
China,Shandong,118.306543,36.21946161,Improved cultivar
China,Henan,113.8272082,34.36243452,Improved cultivar
China,Henan,113.8272082,34.36243452,Landrace
China,Heilongjiang,127.4950672,46.832384,Landrace
China,Liaoning,122.432688,41.02661637,Improved cultivar
China,South,110.76,22.56,Improved cultivar
China,Heilongjiang,127.4950672,46.832384,Improved cultivar
China,Heilongjiang,127.4950672,46.832384,Landrace
China,Heilongjiang,127.4950672,46.832384,Landrace
China,Heilongjiang,127.4950672,46.832384,Landrace
China,South,110.76,22.56,Landrace
China,Heilongjiang,127.4950672,46.832384,Improved cultivar
China,Heilongjiang,127.4950672,46.832384,Landrace
China,Heilongjiang,127.4950672,46.832384,Improved cultivar
China,Heilongjiang,127.4950672,46.832384,Improved cultivar
China,Heilongjiang,127.4950672,46.832384,Improved cultivar
China,Heilongjiang,127.4950672,46.832384,Improved cultivar
China,Heilongjiang,127.4950672,46.832384,Improved cultivar
China,Heilongjiang,127.4950672,46.832384,Improved cultivar
China,Heilongjiang,127.4950672,46.832384,Improved cultivar
China,Heilongjiang,127.4950672,46.832384,Improved cultivar
China,Liaoning,122.432688,41.02661637,Landrace
China,Shaanxi,108.9440811,34.69399647,Landrace
China,Jiangxi,115.6609226,28.05684568,Landrace
China,North,115.97,37.316,Improved cultivar
China,South,110.76,22.56,Improved cultivar
China,Liaoning,122.432688,41.02661637,Landrace
China,Shandong,118.306543,36.21946161,Landrace
China,Tianjin,117.4885028,39.18099215,Improved cultivar
China,Tianjin,117.4885028,39.18099215,Improved cultivar
China,Gansu,100.727585,36.95455756,Improved cultivar
China,Jilin,126.2004839,43.52955854,Improved cultivar
China,Jiangsu,119.4202646,32.87193726,Landrace
China,Gansu,100.727585,36.95455756,Improved cultivar
China,Hebei,116.0792994,38.69639156,Improved cultivar
China,North,115.97,37.316,Improved cultivar
China,Shaanxi,108.9440811,34.69399647,Improved cultivar
China,Hunan,112.2692407,27.68036139,Improved cultivar
China,North,115.97,37.316,Improved cultivar
China,Shaanxi,108.9440811,34.69399647,Improved cultivar
China,South,110.76,22.56,Improved cultivar
China,Shanxi,112.5318474,37.42189233,Improved cultivar
China,Shanxi,112.5318474,37.42189233,Improved cultivar
China,Liaoning,122.432688,41.02661637,Landrace
China,Shandong,118.306543,36.21946161,Landrace
China,Jilin,126.2004839,43.52955854,Landrace
China,Hebei,116.0792994,38.69639156,Landrace
China,Hebei,116.0792994,38.69639156,Landrace
China,Hebei,116.0792994,38.69639156,Landrace
China,Hebei,116.0792994,38.69639156,Landrace
China,Hebei,116.0792994,38.69639156,Improved cultivar
China,Hebei,116.0792994,38.69639156,Improved cultivar
China,Hebei,116.0792994,38.69639156,Landrace
China,Hebei,116.0792994,38.69639156,Landrace
