PI CGN# & Name ;NBT ID;Type;Origin ;Depth ;Coverage ;Note;NCGRC* ID,
Yu Shi Dou;IGDB-063;Landrace;Liaoning, China;8.22 ;0.80 ;Core collection;
Yu Jiang Wu Yue Niu Mao Huang;IGDB-064;Landrace;Jiangsu, China;9.40 ;0.88 ;Core collection;
You Pi Zhi Hei Dou;IGDB-065;Landrace;Shanxi, China;12.60 ;0.90 ;Core collection;
Yi Zheng Da Li Huang Dou;IGDB-066;Landrace;Jiangsu, China;12.23 ;0.91 ;Core collection;
Xin Xian Xiao Huang Dou;IGDB-067;Landrace;Shanxi, China;12.63 ;0.94 ;Core collection;
Xiao Mi Dou;IGDB-068;Landrace;Shandong, China;7.85 ;0.89 ;Core collection;ZDD02913
Xiao Huang Dou;IGDB-069;Landrace;Guizhou, China;11.76 ;0.92 ;Core collection;ZDD01124
Xiao Bai Qi;IGDB-070;Landrace;Innermongolia, China;9.73 ;0.92 ;Core collection;
Xiao Bai Dou;IGDB-071;Landrace;Shanxi, China;16.76 ;0.85 ;Core collection;ZDD08986
Xiang Dou No.4;IGDB-072;Landrace;Hunan, China;20.92 ;0.91 ;-;
Xia Men Teng Zai Dou;IGDB-073;Landrace;Fujian, China;10.39 ;0.79 ;Core collection;ZDD06377
Xia Hei Dou;IGDB-074;Landrace;Shanxi, China;10.45 ;0.87 ;Core collection;ZDD02400
Tong an Zi Hong Dou;IGDB-075;Landrace;Fujian, China;10.54 ;0.79 ;Core collection;ZDD06378
Tian E Dan;IGDB-076;Landrace;Shandong, China;11.10 ;0.91 ;Core collection;ZDD00921
Tai Xin Niu Mao Huang Yi;IGDB-077;Landrace;Jiangsu, China;9.74 ;0.83 ;Core collection;ZDD04620
Sha Xin Dou;IGDB-078;Landrace;Jiangxi, China;11.26 ;0.93 ;Core collection;ZDD06494
Sha Xian Wu Dou;IGDB-079;Landrace;Fujian, China;11.00 ;0.91 ;Core collection;ZDD06438
Sha Xian Qin Dou;IGDB-080;Landrace;Fujian, China;11.04 ;0.77 ;Core collection;ZDD06413
Qing Dou;IGDB-081;Landrace;Liaoning, China;10.56 ;0.88 ;Core collection;ZDD00294
Pi Xian Nian Zhuang Liu Yue Xian;IGDB-082;Landrace;Jiangsu, China;12.54 ;0.92 ;Core collection;ZDD03740
Pi Xian Da Zi Huo Cao;IGDB-083;Landrace;Jiangsu, China;10.54 ;0.92 ;Core collection;ZDD03739
PI 89138;IGDB-084;Landrace;Hamgyong Puk, North Korea;12.89 ;0.94 ;Hyten et al (2006);
PI 88479;IGDB-085;Landrace;Jilin, China;13.50 ;0.92 ;-;
PI 86024;IGDB-086;Landrace;Hokkaido, Japan;10.68 ;0.93 ;-;WDD00992
PI 84987A;IGDB-087;Landrace;Saitama, Japan;7.91 ;0.92 ;-;
PI 84987;IGDB-088;Landrace;Saitama, Japan;28.62 ;0.93 ;-;
PI 84631;IGDB-089;Landrace;Kyonggi, South Korea;11.34 ;0.93 ;-;
PI 83945-3;IGDB-090;Landrace;Kyonggi, South Korea;10.36 ;0.93 ;-;
PI 80837;IGDB-091;Landrace;Akita, Japan;22.13 ;0.93 ;-;
PI 80822;IGDB-092;Landrace;Liaoning, China;12.19 ;0.94 ;-;
PI 634883;IGDB-093;Improved cultivar;Illinois, United States;10.43 ;0.96 ;Core collection;WDD00569
PI 603756;IGDB-094;Landrace;Zhejiang, China;10.03 ;0.93 ;Hyten et al (2006);ZDD05996
PI 603675;IGDB-095;Landrace;Jiangsu, China;12.85 ;0.92 ;Core collection;ZDD03797
PI 603596;IGDB-096;Landrace;Fujian, China;9.39 ;0.93 ;Hyten et al (2006);ZDD14097
PI 603516;IGDB-097;Landrace;Shaanxi, China;20.25 ;0.94 ;Hyten et al (2006);ZDD10609
PI 603424A;IGDB-098;Landrace;China;25.71 ;0.95 ;Hyten et al (2006);ZDD007871,
PI 603420;IGDB-099;Landrace;Innermongolia, China;7.54 ;0.90 ;Hyten et al (2006);ZDD01501
PI 603384;IGDB-100;Landrace;Jilin, China;19.46 ;0.95 ;Hyten et al (2006);ZDD17805
PI 603357;IGDB-101;Landrace;Jilin, China;11.51 ;0.93 ;Hyten et al (2006);ZDD00490
PI 603336;IGDB-102;Landrace;Heilongjiang, China;24.53 ;0.95 ;Hyten et al (2006);ZDD07155
PI 603318;IGDB-103;Landrace;Heilongjiang, China;15.01 ;0.94 ;Hyten et al (2006);ZDD07000
PI 602991;IGDB-104;Landrace;Shandong, China;11.28 ;0.94 ;Hyten et al (2006);
PI 594788;IGDB-105;Landrace;Yunnan, China;13.34 ;0.94 ;Hyten et al (2006);
PI 594777;IGDB-106;Landrace;Yunnan, China;18.00 ;0.95 ;Hyten et al (2006);
PI 594629;IGDB-107;Landrace;Guizhou, China;18.39 ;0.94 ;Hyten et al (2006);
PI 594615;IGDB-108;Landrace;Guizhou, China;11.34 ;0.93 ;Hyten et al (2006);
PI 594579;IGDB-109;Landrace;Hunan, China;11.98 ;0.94 ;Hyten et al (2006);
PI 594451;IGDB-110;Landrace;Sichuan, China;17.93 ;0.94 ;Hyten et al (2006);
PI 594301;IGDB-111;Landrace;Japan;8.06 ;0.93 ;-;,
PI 591511;IGDB-112;Improved cultivar;Illinois, United States;14.65 ;0.96 ;-;WDD02039
PI 591495;IGDB-113;Improved cultivar;Illinois, United States;13.38 ;0.95 ;-;WDD02062
PI 588053A;IGDB-114;Landrace;Guangdong, China;12.61 ;0.93 ;Hyten et al (2006);
PI 587848;IGDB-115;Landrace;Hubei, China;10.22 ;0.92 ;-;
PI 587752;IGDB-116;Landrace;Hubei, China;11.21 ;0.94 ;Hyten et al (2006);
PI 587666;IGDB-117;Landrace;Anhui, China;9.85 ;0.93 ;Hyten et al (2006);
PI 587552;IGDB-118;Landrace;Jiangsu, China;13.70 ;0.95 ;Hyten et al (2006);
PI 578457A;IGDB-119;Landrace;Vietnam;6.70 ;0.91 ;-;,
PI 567525;IGDB-120;Landrace;Shandong, China;11.84 ;0.94 ;Hyten et al (2006);
PI 567503;IGDB-121;Landrace;Hebei, China;20.09 ;0.92 ;Hyten et al (2006);
PI 567395;IGDB-122;Landrace;Shaanxi, China;6.78 ;0.92 ;Hyten et al (2006);
PI 567364;IGDB-123;Landrace;Ningxia, China;15.00 ;0.93 ;Hyten et al (2006);
PI 567298;IGDB-124;Landrace;Gansu, China;10.74 ;0.94 ;Hyten et al (2006);
PI 567293;IGDB-125;Landrace;Gansu, China;15.45 ;0.94 ;Hyten et al (2006);
PI 567258;IGDB-126;Landrace;Jiangxi, China;15.38 ;0.95 ;Hyten et al (2006);
PI 567189A;IGDB-127;Landrace;Vietnam;12.78 ;0.93 ;-;,
PI 567071A;IGDB-128;Landrace;Indonesia;6.58 ;0.90 ;-;,
PI 548488;IGDB-129;Landrace;Heilongjiang, China;14.75 ;0.94 ;Hyten et al (2006);
PI 548485;IGDB-130;Landrace;Jiangsu, China;4.70 ;0.86 ;Hyten et al (2006);
PI 548477;IGDB-131;Improved cultivar;Tennessee, United States;9.92 ;0.93 ;Hyten et al (2006);
PI 548456;IGDB-132;Landrace;Pyongyang, North Korea;10.67 ;0.93 ;Hyten et al (2006);
PI 548445;IGDB-133;Landrace;Jiangsu, China;5.76 ;0.85 ;Hyten et al (2006);
PI 548417;IGDB-134;Landrace;Naples, Italy;12.82 ;0.94 ;-;WDD00377
PI 548406;IGDB-135;Landrace;Jilin, China;11.07 ;0.93 ;Hyten et al (2006);WDD00398
PI 548402;IGDB-136;Landrace;Beijing, China;11.85 ;0.91 ;Core collection;WDD00467
PI 548391;IGDB-137;Landrace;Liaoning, China;20.24 ;0.95 ;Hyten et al (2006);WDD00397
PI 548382;IGDB-138;Landrace;Liaoning, China;12.80 ;0.94 ;Hyten et al (2006);WDD00347
PI 548379;IGDB-139;Landrace;Heilongjiang, China;26.09 ;0.95 ;Hyten et al (2006);
PI 548362;IGDB-140;Improved cultivar;Illinois, United States;13.79 ;0.95 ;Hyten et al (2006);WDD00425
PI 548348;IGDB-141;Landrace;Northeast, China;16.10 ;0.96 ;Hyten et al (2006);WDD00420
PI 548342;IGDB-142;Landrace;Honshu, Japan;16.15 ;0.94 ;-;WDD00454
PI 548311;IGDB-143;Improved cultivar;Ontario, Canada;12.47 ;0.95 ;Hyten et al (2006);WDD00350
PI 548298;IGDB-144;Landrace;China;15.76 ;0.95 ;Hyten et al (2006);WDD00406,
PI 548190;IGDB-145;Improved cultivar;Illinois, United States;10.42 ;0.94 ;-;WDD00275
PI 548182;IGDB-146;Improved cultivar;Illinois, United States;15.64 ;0.94 ;-;WDD00269
PI 547562;IGDB-147;Improved cultivar;Illinois, United States;11.63 ;0.96 ;-;WDD00053
PI 507355;IGDB-148;Landrace;Hokkaido, Japan;15.09 ;0.94 ;-;
PI 467343;IGDB-149;Landrace;Jilin, China;14.83 ;0.94 ;-;
PI 438498;IGDB-150;Landrace;United States;18.61 ;0.92 ;-;,
PI 437944;IGDB-151;Landrace;Northeast, China;9.63 ;0.73 ;-;
PI 437679;IGDB-152;Landrace;China;6.32 ;0.91 ;-;,
PI 437654;IGDB-153;Landrace;China;14.74 ;0.94 ;-;,
PI 437653;IGDB-154;Landrace;China;12.59 ;0.93 ;-;,
PI 437321;IGDB-155;Landrace;Primorye, Russia;9.73 ;0.92 ;-;
PI 424391;IGDB-156;Landrace;ChollaPuk, South Korea;13.05 ;0.95 ;Hyten et al (2006);
PI 423967;IGDB-157;Landrace;Kumamoto, Japan;3.66 ;0.83 ;Hyten et al (2006);
PI 423954;IGDB-158;Landrace;Kumamoto, Japan;10.23 ;0.93 ;Hyten et al (2006);
PI 417398;IGDB-159;Landrace;China;11.14 ;0.95 ;-;,
PI 416971;IGDB-160;Landrace;Kinki, Japan;11.21 ;0.94 ;-;
PI 416890;IGDB-161;Landrace;Japan;9.90 ;0.93 ;-;,
PI 407849;IGDB-162;Landrace;ChollaPuk, South Korea;12.41 ;0.93 ;Hyten et al (2006);
PI 407801;IGDB-163;Landrace;Kyonggi, South Korea;11.20 ;0.93 ;Hyten et al (2006);
PI 407716;IGDB-164;Landrace;Jilin, China;12.32 ;0.94 ;-;
PI 404182;IGDB-165;Landrace;China;12.56 ;0.93 ;-;,
PI 399043;IGDB-166;Landrace;Cheju, South Korea;17.82 ;0.94 ;Hyten et al (2006);
PI 398296;IGDB-167;Landrace;Kyonggi, South Korea;15.00 ;0.93 ;Hyten et al (2006);
PI 339734;IGDB-168;Landrace;Kangwon, South Korea;9.56 ;0.93 ;-;
PI 323576;IGDB-169;Landrace;Uttar Pradesh, India;9.68 ;0.91 ;-;
PI 317336;IGDB-170;Landrace;Hokkaido, Japan;11.63 ;0.93 ;-;WDD01217
PI 317334A;IGDB-171;Landrace;Japan;9.73 ;0.93 ;-;,
PI 253658B;IGDB-172;Landrace;China;7.89 ;0.93 ;-;,
PI 243541;IGDB-173;Landrace;Hokkaido, Japan;11.13 ;0.92 ;-;
PI 196166;IGDB-174;Landrace;South Korea;12.40 ;0.93 ;-;,
PI 157421;IGDB-175;Landrace;South Korea;8.48 ;0.88 ;-;WDD00447,
PI 153262;IGDB-176;Landrace;Belgium;14.00 ;0.93 ;-;,
Pei Xian Xiao You Dou;IGDB-177;Landrace;Jiangsu, China;8.54 ;0.83 ;Core collection;ZDD03868
Nian Shi Huang Dou;IGDB-178;Landrace;China;11.76 ;0.90 ;Core collection;,
Ni Dou;IGDB-179;Landrace;Hubei, China;10.45 ;0.76 ;Core collection;ZDD05502
Ni Ding Hua Mei Dou;IGDB-180;Landrace;Ningxia, China;9.99 ;0.91 ;Core collection;ZDD08120
Nan Guan Xiao PI Qing;IGDB-181;Landrace;Hebei, China;11.49 ;0.93 ;Core collection;ZDD08228
Long quan Da Dou;IGDB-182;Landrace;Heilongjiang, China;11.96 ;0.95 ;Core collection;ZDD07088
Jin Shan Cha Zhu Shi Dou;IGDB-183;Landrace;Jilin, China;10.35 ;0.79 ;Core collection;
Jin Huang No.35;IGDB-184;Landrace;Hubei, China;11.95 ;0.77 ;Core collection;ZDD05572
Ji Shan De Da Li Hei Dou;IGDB-185;Landrace;Shanxi, China;19.79 ;0.94 ;Core collection;
Hu Pi Dou;IGDB-186;Landrace;Shanxi, China;11.07 ;0.94 ;-;
Hong Zhu Dou;IGDB-187;Landrace;Hunan, China;9.80 ;0.84 ;Core collection;ZDD06543
Hong Hu Liu Yue Bao;IGDB-188;Landrace;Hubei, China;10.51 ;0.85 ;Core collection;ZDD05494
Hei Wa Shi Dou;IGDB-189;Landrace;Jilin, China;8.79 ;0.95 ;Core collection;
Hei He Xiao Huang Dou;IGDB-190;Landrace;Heilongjiang, China;10.96 ;0.93 ;Core collection;ZDD06856
Hei Dou GD;IGDB-191;Landrace;Guangdong, China;8.58 ;0.91 ;Core collection;ZDD08472
Guang Rao Da Qing Dou;IGDB-192;Landrace;Shandong, China;16.57 ;0.94 ;Core collection;
FC 33243;IGDB-193;Improved cultivar;Iowa, United States;15.70 ;0.95 ;Hyten et al (2006);
Dong Shan Bai Ma Dou;IGDB-194;Landrace;Fujian, China;10.79 ;0.90 ;Core collection;ZDD06358
Dai Mi Dou;IGDB-195;Landrace;Hubei, China;11.52 ;0.90 ;Core collection;ZDD05920
Da Tun Xiao Hei Dou;IGDB-196;Landrace;Hebei, China;11.50 ;0.90 ;Core collection;ZDD08251
Da Qing Ren;IGDB-197;Landrace;Shanxi, China;12.89 ;0.91 ;Core collection;ZDD06375
Da Li Huang;IGDB-198;Landrace;Jilin, China;11.57 ;0.87 ;Core collection;ZDD06363
Cu Dou;IGDB-199;Landrace;Zhejiang, China;11.35 ;0.89 ;Core collection;ZDD06067
Bin Hai Da huang Ke Zi Jia;IGDB-200;Landrace;Jiangsu, China;12.27 ;0.82 ;Core collection;ZDD04092
Beijing-IGDB-1;IGDB-201;Improved cultivar;Jilin, China;10.61 ;0.93 ;-;
Bai Mao Dou;IGDB-202;Landrace;Hubei, China;10.16 ;0.80 ;Core collection;ZDD06562
Bai Lu Dou;IGDB-203;Landrace;Shanxi, China;10.77 ;0.93 ;Core collection;ZDD08728
Zhong Huang No.50;IGDB-204;Improved cultivar;Beijing, China;11.78 ;0.95 ;Chinese elite cultivar;
Zhong Huang No.40;IGDB-205;Improved cultivar;Shandong, China;14.40 ;0.95 ;Chinese elite cultivar;
Zhong Huang No.38;IGDB-206;Improved cultivar;Hebei, China;13.86 ;0.96 ;Chinese elite cultivar;
Zhong Huang No.35;IGDB-207;Improved cultivar;Beijing, China;9.18 ;0.94 ;Chinese elite cultivar;
Zhong Huang No.31;IGDB-208;Improved cultivar;Beijing, China;13.91 ;0.96 ;Chinese elite cultivar;
Zhong Huang No.14;IGDB-209;Improved cultivar;Beijing, China;8.83 ;0.88 ;Chinese elite cultivar;
Zhong Huang No.13;IGDB-210;Improved cultivar;Beijing, China;12.63 ;0.94 ;Core collection;ZDD23876
Xi Zang Da Dou No.20;IGDB-211;Improved cultivar;Tibet, China;10.39 ;0.92 ;Chinese elite cultivar;
Wei No.6823;IGDB-212;Improved cultivar;Shandong, China;9.78 ;0.94 ;Chinese elite cultivar;
Tie Feng No.22;IGDB-213;Improved cultivar;Liaoning, China;26.86 ;0.93 ;Chinese elite cultivar;
Tai Wan No.1;IGDB-214;Improved cultivar;Taiwan, China;11.10 ;0.93 ;Chinese elite cultivar;
Su Nong No.33;IGDB-215;Improved cultivar;Heilongjiang, China;9.97 ;0.93 ;Chinese elite cultivar;
Su Nong No.25;IGDB-216;Improved cultivar;Heilongjiang, China;9.99 ;0.94 ;Chinese elite cultivar;
Su Nong No.14;IGDB-217;Improved cultivar;Heilongjiang, China;11.94 ;0.93 ;Core collection;ZDD22648
Su Nong No.10;IGDB-218;Improved cultivar;Heilongjiang, China;4.88 ;0.86 ;Core collection;ZDD22644
Shu Xian No.205;IGDB-219;Improved cultivar;Sichuan, China;10.30 ;0.94 ;Chinese elite cultivar;
Sheng Dou No.9;IGDB-220;Improved cultivar;Shandong, China;12.71 ;0.94 ;Chinese elite cultivar;
Shen Li No.3;IGDB-221;Improved cultivar;Shandong, China;12.19 ;0.90 ;Core collection;ZDD02626
Harbin 91-6065;IGDB-222;Improved cultivar;Heilongjiang, China;15.84 ;0.94 ;Chinese elite cultivar;
PI 591541;IGDB-223;Improved cultivar;Illinois, United States;12.99 ;0.94 ;-;WDD02074
PI 591435;IGDB-224;Improved cultivar;Ontario, Canada;24.66 ;0.96 ;-;
PI 591433;IGDB-225;Improved cultivar;Ontario, Canada;8.34 ;0.88 ;-;
PI 591432;IGDB-226;Improved cultivar;Ontario, Canada;5.93 ;0.91 ;-;
PI 591431;IGDB-227;Improved cultivar;Ontario, Canada;11.45 ;0.94 ;-;
PI 553047;IGDB-228;Improved cultivar;Georgia, United States;12.18 ;0.93 ;Hyten et al (2006);WDD01655
PI 548985;IGDB-229;Improved cultivar;South Carolina, United States;12.22 ;0.94 ;Hyten et al (2006);WDD01639
PI 548657;IGDB-230;Improved cultivar;North Carolina, United States;13.09 ;0.94 ;Hyten et al (2006);WDD01660
PI 548644;IGDB-231;Improved cultivar;Ontario, Canada;7.51 ;0.88 ;Hyten et al (2006);
PI 548643;IGDB-232;Improved cultivar;Ontario, Canada;10.82 ;0.91 ;Hyten et al (2006);WDD01454
PI 548638;IGDB-233;Improved cultivar;Ontario, Canada;17.48 ;0.95 ;Hyten et al (2006);WDD01458
PI 548634;IGDB-234;Improved cultivar;Ohio, United States;11.16 ;0.94 ;Hyten et al (2006);WDD00590
PI 548631;IGDB-235;Improved cultivar;Illinois, United States;14.27 ;0.96 ;Core collection;WDD00585
PI 548604;IGDB-236;Improved cultivar;Missouri, United States;9.80 ;0.92 ;Hyten et al (2006);WDD00612
PI 548603;IGDB-237;Improved cultivar;Indiana, United States;5.33 ;0.88 ;Hyten et al (2006);WDD00611
PI 548593;IGDB-238;Improved cultivar;Ontario, Canada;12.42 ;0.92 ;Core collection;WDD00484
PI 548573;IGDB-239;Improved cultivar;Ontario, Canada;11.39 ;0.94 ;Core collection;WDD00167
PI 548565;IGDB-240;Improved cultivar;Ohio, United States;10.85 ;0.95 ;Core collection;WDD00539
PI 548540;IGDB-241;Improved cultivar;Iowa, United States;19.09 ;0.94 ;-;WDD00536
PI 548524;IGDB-242;Improved cultivar;Iowa, United States;9.40 ;0.93 ;Hyten et al (2006);WDD00525
PI 548520;IGDB-243;Improved cultivar;Iowa, United States;11.63 ;0.95 ;-;WDD01585
PI 548512;IGDB-244;Improved cultivar;Indiana, United States;10.53 ;0.94 ;Hyten et al (2006);WDD00532
PI 547779;IGDB-245;Improved cultivar;Illinois, United States;11.48 ;0.93 ;-;WDD01832
PI 547716;IGDB-246;Improved cultivar;Illinois, United States;14.70 ;0.94 ;-;
PI 547690;IGDB-247;Improved cultivar;Illinois, United States;11.81 ;0.95 ;Core collection;WDD00194
PI 547686;IGDB-248;Improved cultivar;Illinois, United States;14.47 ;0.94 ;Core collection;WDD00193
PI 547680;IGDB-249;Improved cultivar;Illinois, United States;12.75 ;0.89 ;Core collection;WDD00216
PI 547488;IGDB-250;Improved cultivar;Illinois, United States;4.04 ;0.91 ;-;WDD00023
PI 547460;IGDB-251;Improved cultivar;Illinois, United States;12.29 ;0.95 ;-;WDD00060
PI 547459;IGDB-252;Improved cultivar;Illinois, United States;21.94 ;0.96 ;-;WDD00150
PI 547409;IGDB-253;Improved cultivar;Illinois, United States;6.55 ;0.93 ;-;WDD00015
PI 546044;IGDB-254;Improved cultivar;Ontario, Canada;10.82 ;0.94 ;-;
PI 542403;IGDB-255;Improved cultivar;Minnesota, United States;10.63 ;0.94 ;Hyten et al (2006);WDD00492
PI 540552;IGDB-256;Improved cultivar;Ohio, United States;9.57 ;0.93 ;Hyten et al (2006);WDD01536
PI 536635;IGDB-257;Improved cultivar;Ohio, United States;10.10 ;0.95 ;Hyten et al (2006);WDD00581
PI 533655;IGDB-258;Improved cultivar;Illinois, United States;13.51 ;0.94 ;Hyten et al (2006);WDD01871
PI 533602;IGDB-259;Improved cultivar;Arkansas, United States;17.77 ;0.94 ;Hyten et al (2006);
PI 518750;IGDB-260;Improved cultivar;Former Serbia and Montenegro;14.10 ;0.95 ;-;,
Jilin 21;IGDB-261;Improved cultivar;Jilin, China;10.46 ;0.93 ;Chinese elite cultivar;
PI 518664;IGDB-262;Improved cultivar;Virginia, United States;9.51 ;0.92 ;Hyten et al (2006);WDD01625
PI 515961;IGDB-263;Improved cultivar;Kentucky, United States;11.65 ;0.94 ;Hyten et al (2006);WDD01466
PI 513382;IGDB-264;Improved cultivar;Minnesota, United States;12.20 ;0.94 ;Hyten et al (2006);WDD00648
PI 508266;IGDB-265;Improved cultivar;North Carolina, United States;15.81 ;0.94 ;Hyten et al (2006);WDD01649
PI 508083;IGDB-266;Improved cultivar;Minnesota, United States;20.55 ;0.95 ;Hyten et al (2006);WDD01537
Nan Nong Cai Dou No.1;IGDB-267;Improved cultivar;Jiangsu, China;10.53 ;0.96 ;Chinese elite cultivar;
Lu Dou No.11;IGDB-268;Improved cultivar;Shandong, China;9.18 ;0.93 ;Core collection;
Liao Dou No.3;IGDB-269;Improved cultivar;Liaoning, China;12.12 ;0.92 ;Chinese elite cultivar;
Liao Dou No.21;IGDB-270;Improved cultivar;Liaoning, China;9.89 ;0.91 ;Chinese elite cultivar;
Liao Dou No.17;IGDB-271;Improved cultivar;Liaoning, China;10.83 ;0.93 ;Chinese elite cultivar;
Liao Dou No.15;IGDB-272;Improved cultivar;Liaoning, China;12.10 ;0.94 ;Chinese elite cultivar;
Liao Dou No.11;IGDB-273;Improved cultivar;Liaoning, China;9.91 ;0.91 ;Chinese elite cultivar;
Jiu Nong No.30;IGDB-274;Improved cultivar;Jilin, China;11.66 ;0.94 ;Chinese elite cultivar;
Jin Da No.75;IGDB-275;Improved cultivar;Shanxi, China;10.85 ;0.93 ;Chinese elite cultivar;
Jin Da No.73;IGDB-276;Improved cultivar;Shanxi, China;12.20 ;0.94 ;Chinese elite cultivar;
Jin Da No.70;IGDB-277;Improved cultivar;Shanxi, China;14.46 ;0.93 ;Chinese elite cultivar;
Jin Da No.62;IGDB-278;Improved cultivar;Shanxi, China;17.05 ;0.94 ;Chinese elite cultivar;
Jin Da No.52;IGDB-279;Improved cultivar;Shanxi, China;7.75 ;0.93 ;Chinese elite cultivar;
Jin Da No.26;IGDB-280;Improved cultivar;Shanxi, China;11.01 ;0.94 ;Chinese elite cultivar;
Ji Yu No.90;IGDB-281;Improved cultivar;Jilin, China;11.68 ;0.94 ;Chinese elite cultivar;
Hei Nong No.51;IGDB-282;Improved cultivar;Heilongjiang, China;9.49 ;0.94 ;Chinese elite cultivar;
Hei He No.1;IGDB-283;Improved cultivar;Heilongjiang, China;10.52 ;0.93 ;Core collection;ZDD00041
He Feng No.25;IGDB-284;Improved cultivar;Heilongjiang, China;9.72 ;0.89 ;Core collection;ZDD06823
He Feng No.23;IGDB-285;Improved cultivar;Heilongjiang, China;11.26 ;0.88 ;Chinese elite cultivar;
He Dou No.13;IGDB-286;Improved cultivar;Shandong, China;15.85 ;0.95 ;Chinese elite cultivar;
Gui Chun No.8;IGDB-287;Improved cultivar;Guangxi, China;21.89 ;0.95 ;Chinese elite cultivar;
Fen Dou No.89;IGDB-288;Improved cultivar;Shanxi, China;20.35 ;0.94 ;Chinese elite cultivar;
Fen Dou No.88;IGDB-289;Improved cultivar;Shanxi, China;17.96 ;0.96 ;Chinese elite cultivar;
Fen Dou No.86;IGDB-290;Improved cultivar;Shanxi, China;16.63 ;0.94 ;Chinese elite cultivar;
Fen Dou No.85;IGDB-291;Improved cultivar;Shanxi, China;13.99 ;0.94 ;Chinese elite cultivar;
Fen Dou No.79;IGDB-292;Improved cultivar;Shanxi, China;16.08 ;0.94 ;Chinese elite cultivar;
Fen Dou No.78;IGDB-293;Improved cultivar;Shanxi, China;18.76 ;0.95 ;Chinese elite cultivar;
Fen Dou No.65;IGDB-294;Improved cultivar;Shanxi, China;14.19 ;0.93 ;Chinese elite cultivar;
Fen Dou No.63;IGDB-295;Improved cultivar;Shanxi, China;18.35 ;0.94 ;Chinese elite cultivar;
Dong Nong No.52;IGDB-296;Improved cultivar;Heilongjiang, China;9.93 ;0.93 ;Chinese elite cultivar;
Dong Nong No.51;IGDB-297;Improved cultivar;Heilongjiang, China;9.83 ;0.94 ;Chinese elite cultivar;
Dong Nong No.26;IGDB-298;Improved cultivar;Heilongjiang, China;10.90 ;0.87 ;Chinese elite cultivar;
Chang Nong No.16;IGDB-299;Improved cultivar;Jilin, China;11.64 ;0.95 ;Chinese elite cultivar;
Chang Nong No.15;IGDB-300;Improved cultivar;Jilin, China;12.67 ;0.94 ;Chinese elite cultivar;
Chang Nong No.13;IGDB-301;Improved cultivar;Jilin, China;13.54 ;0.94 ;Chinese elite cultivar;
Cang Dou-11;IGDB-302;Improved cultivar;Hebei, China;9.78 ;0.93 ;Chinese elite cultivar;
94_2_6;;Landrace;North, China;6.60 ;0.86 ;-;
1508-101;;Improved cultivar;Heilongjiang, China;14.52 ;0.97 ;-;
1508-102;;Improved cultivar;Heilongjiang, China;14.30 ;0.96 ;-;
23P_3;;Landrace;North, China;6.67 ;0.89 ;-;
58_161;;Landrace;Jiangsu, China;5.45 ;0.93 ;-;
85_140;;Landrace;North, China;6.69 ;0.89 ;-;
AGS292;;Improved cultivar;Taiwan, China;11.69 ;0.97 ;Chinese elite cultivar;
