PI CGN# & Name ;NBT ID;Type;Origin ;Depth ;Coverage ;Note;NCGRC* ID,
Amsoy;;Improved cultivar;Iowa, United States;6.25 ;0.94 ;Core collection;WDD00528
Ba Hong No.1;;Improved cultivar;Hebei, China;5.36 ;0.93 ;Chinese elite cultivar;
Bai Gun Dou;;Landrace;Gansu, China;5.62 ;0.94 ;-;
Bai Ke Dou;;Landrace;Shaanxi, China;5.63 ;0.95 ;-;
Bai Mei Xiao Qing Dou;;Landrace;Shandong, China;6.84 ;0.94 ;-;
Bai Pi Huang Dou;;Landrace;Shanxi, China;5.18 ;0.94 ;Core collection;ZDD01983
Bai Pi Zi;;Landrace;Liaoning, China;9.96 ;0.95 ;-;
Bai Qi Da Wan Dou;;Landrace;Hebei, China;5.42 ;0.93 ;Core collection;ZDD01629
Bai Tian Shu Xiao Huang Dou;;Landrace;Shandong, China;7.29 ;0.95 ;-;
Bai Zhen Zhu;;Landrace;Gansu, China;6.48 ;0.95 ;-;
Bao Ji Mu;;Landrace;Sichuan, China;6.28 ;0.95 ;-;
Beeson;;Improved cultivar;Indiana, United States;5.63 ;0.94 ;Core collection;WDD00530
Bei Chuan Da Yang Wei Ba;;Landrace;Sichuan, China;6.08 ;0.94 ;-;
Bei Chuan Tu Er Dou;;Landrace;Sichuan, China;4.87 ;0.93 ;-;
Bei Chuan Wu Yan Wo;;Landrace;Sichuan, China;7.83 ;0.95 ;-;
Bei Dou No.14;;Improved cultivar;Heilongjiang, China;6.19 ;0.94 ;Chinese elite cultivar;
Bei Dou No.50;;Improved cultivar;Heilongjiang, China;5.52 ;0.94 ;Chinese elite cultivar;
Bei Dou No.9;;Improved cultivar;Heilongjiang, China;9.63 ;0.90 ;Chinese elite cultivar;
Bei Hai Dao Da Dou;;Landrace;Hokkaido, Japan;5.35 ;0.94 ;-;
Bei Jing Xiao Hei Dou;;Landrace;Beijing, China;4.85 ;0.93 ;-;
Ben Di Da Huang Dou;;Landrace;South, China;6.93 ;0.94 ;Core collection;ZDD08352
Bi Yang Niu Mao Huang;;Landrace;Henan, China;5.13 ;0.93 ;Core collection;ZDD03293
Bi Yang Xiao Zi Huang;;Landrace;Henan, China;5.21 ;0.93 ;Core collection;ZDD03153
Bian g2_3;;Landrace;North, China;6.36 ;0.86 ;-;
Bian Hei Dou;;Landrace;Liaoning, China;5.86 ;0.93 ;Core collection;ZDD01430
Bian Zhuang Da Dou;;Landrace;Shanxi, China;6.08 ;0.95 ;-;
Bin Hai Da Bai Hua Jia;;Landrace;Jiangsu, China;5.62 ;0.94 ;-;
Bo Ai Hong Pi Zao Jiao;;Landrace;Henan, China;6.31 ;0.94 ;Core collection;ZDD03540
Bo Di Gao;;Landrace;Jilin, China;5.37 ;0.94 ;Core collection;ZDD00638
Cai Dou No.2;;Improved cultivar;Beijing, China;7.51 ;0.96 ;Chinese elite cultivar;
Cai Lyu Dou;;Landrace;Shaanxi, China;6.86 ;0.94 ;-;
Cang Dou No.10;;Improved cultivar;Hebei, China;5.95 ;0.94 ;Chinese elite cultivar;
Cang Dou No.5;;Improved cultivar;Hebei, China;7.21 ;0.95 ;Chinese elite cultivar;
Cang Zhou Da Qing Dou;;Landrace;Hebei, China;5.67 ;0.93 ;-;
Cha Dou;;Landrace;Shandong, China;5.89 ;0.94 ;Core collection;ZDD03106
Cha Mo Shi Dou;;Landrace;Jilin, China;5.75 ;0.94 ;-;
Chang Chun Man Cang Jin;;Landrace;Jilin, China;4.81 ;0.93 ;-;
Chang Dou No.001;;Improved cultivar;Shanxi, China;6.49 ;0.94 ;Chinese elite cultivar;
Chang Dou No.003;;Improved cultivar;Shanxi, China;5.26 ;0.92 ;Chinese elite cultivar;
Chang Dou No.006;;Improved cultivar;Shanxi, China;6.30 ;0.95 ;Chinese elite cultivar;
Chang Ji Huang Dou 2;;Landrace;Xinjiang, China;5.05 ;0.92 ;-;
Chang Ji Huang Dou 1;;Landrace;Xinjiang, China;5.81 ;0.95 ;Core collection;ZDD08125
Chang Yuan Xiao Tian E Dan;;Landrace;Henan, China;5.75 ;0.94 ;-;
Chen Liu Niu Mao Huang;;Landrace;Henan, China;6.45 ;0.94 ;-;
Chi Cheng Lyu Huang Dou;;Landrace;Hebei, China;7.04 ;0.95 ;Core collection;ZDD08238
Da Bai Mei;;Landrace;Liaoning, China;5.40 ;0.93 ;-;
Da Bai Pi;;Landrace;South, China;5.10 ;0.93 ;Core collection;ZDD02866
Da Bai Qi;;Landrace;Liaoning, China;5.39 ;0.94 ;-;
Da He Dou;;Landrace;Hebei, China;4.87 ;0.92 ;-;
Da Hei Dou;;Landrace;Hebei, China;5.64 ;0.94 ;Core collection;ZDD02159
Da Hei Qi;;Landrace;South, China;5.09 ;0.93 ;Core collection;ZDD00932
Da Hong Dou;;Landrace;Anhui, China;5.79 ;0.93 ;-;
Da Hua Pi;;Landrace;Shandong, China;5.24 ;0.93 ;-;
Da Huang Dou;;Landrace;Innermongolia, China;5.79 ;0.94 ;Core collection;ZDD02891
Da Huang Jia;;Landrace;Hebei, China;5.95 ;0.93 ;-;
Da Jiao Ni Dou;;Landrace;Shandong, China;7.87 ;0.95 ;-;
Da Li Hei;;Landrace;Liaoning, China;5.50 ;0.94 ;-;
Da Li Hei Dou;;Landrace;Hebei, China;6.96 ;0.95 ;Core collection;ZDD01402
Da Li Huang Dou;;Landrace;Shaanxi, China;5.10 ;0.93 ;-;
Da Li Qing;;Landrace;Liaoning, China;7.25 ;0.94 ;-;
Da Tian E Dan;;Landrace;South, China;6.81 ;0.92 ;Core collection;ZDD02892
Da Xing Qing Dou;;Landrace;Beijing, China;8.27 ;0.94 ;-;
Da Zi Qi ;;Landrace;Liaoning, China;5.65 ;0.94 ;-;
Dan Cheng Lao Shu Yan;;Landrace;Henan, China;5.72 ;0.92 ;-;
Dang Nian Chen;;Landrace;Hebei, China;5.47 ;0.93 ;-;
DcJSey4500;;Landrace;United States;6.03 ;0.94 ;-;,
Deng Ke No.3_1;;Improved cultivar;Innermongolia, China;6.08 ;0.94 ;Chinese elite cultivar;
Di Liu Huang Dou-2;;Landrace;Hebei, China;6.12 ;0.94 ;Core collection;ZDD01683
Dong Nong L13;;Improved cultivar;Heilongjiang, China;13.97 ;0.96 ;Chinese elite cultivar;
Dong Nong No.44;;Improved cultivar;Heilongjiang, China;10.69 ;0.93 ;Core collection;ZDD23596
Dong Nong No.47;;Improved cultivar;Heilongjiang, China;10.79 ;0.91 ;Chinese elite cultivar;
Dong Nong No.50;;Improved cultivar;Heilongjiang, China;18.52 ;0.96 ;Chinese elite cultivar;
Dong Nong No.58;;Improved cultivar;Heilongjiang, China;13.56 ;0.94 ;Chinese elite cultivar;
Dong Nong No.59;;Improved cultivar;Heilongjiang, China;6.03 ;0.94 ;Chinese elite cultivar;
Dong Sheng No.1;;Improved cultivar;Heilongjiang, China;6.73 ;0.94 ;Chinese elite cultivar;
Dong Yin Xiao Li Dou;;Landrace;North, China;11.12 ;0.96 ;-;
Dunfield;;Landrace;Jilin, China;5.54 ;0.94 ;-;
E182;;Landrace;Beijing, China;6.04 ;0.86 ;-;
Enrei;;Improved cultivar;Japan;12.41 ;0.96 ;-;,
Er Huang Yang;;Landrace;Hebei, China;6.90 ;0.94 ;-;
Fan Dou No.5;;Improved cultivar;Henan, China;4.99 ;0.92 ;Chinese elite cultivar;
Fang Shan Huang Dou;;Landrace;Beijing, China;5.93 ;0.93 ;-;
Fang Zheng Mo Shi Dou;;Landrace;Heilongjiang, China;5.15 ;0.93 ;-;
Fen Dou No.16;;Improved cultivar;Shanxi, China;5.32 ;0.93 ;Chinese elite cultivar;
Fen Dou No.28;;Improved cultivar;Shanxi, China;6.20 ;0.94 ;Chinese elite cultivar;
Fen Dou No.56;;Improved cultivar;Shanxi, China;6.80 ;0.94 ;Chinese elite cultivar;
Fen Dou No.62;;Improved cultivar;Shanxi, China;5.75 ;0.92 ;Core collection;
Feng Jiao 66-12;;Improved cultivar;Liaoning, China;5.47 ;0.92 ;Chinese elite cultivar;
Feng Xian Sui Dao Huang;;Landrace;Shanghai, China;5.81 ;0.94 ;-;
Fo Ding Zhu;;Landrace;Shandong, China;5.86 ;0.94 ;-;
Fu Yang No.335;;Improved cultivar;Anhui, China;13.79 ;0.91 ;Chinese elite cultivar;
Fu75-65;;Improved cultivar;Anhui, China;4.75 ;0.91 ;Chinese elite cultivar;
Gao Feng No.1;;Improved cultivar;Shandong, China;5.35 ;0.95 ;Chinese elite cultivar;
Gong Xian Er Ji Zao;;Landrace;Sichuan, China;6.04 ;0.94 ;-;
Guan Nan Chun Hei Dou;;Landrace;Jiangsu, China;6.45 ;0.95 ;-;
Guan Yun Hai Bai Hua;;Landrace;Jiangsu, China;5.86 ;0.94 ;Core collection;ZDD11226
Guan Yun Mao Ye Dou;;Landrace;Jiangsu, China;5.54 ;0.93 ;-;
Gui Chun No.2;;Improved cultivar;Guangxi, China;8.66 ;0.88 ;Chinese elite cultivar;
Guo Yang Da Jian Ke;;Landrace;Anhui, China;5.85 ;0.93 ;-;
Han Dou No.10;;Improved cultivar;Hebei, China;6.75 ;0.94 ;Chinese elite cultivar;
Han No.6192;;Improved cultivar;Hebei, China;6.47 ;0.94 ;Chinese elite cultivar;
He Dou No.10;;Improved cultivar;Shandong, China;6.20 ;0.94 ;Chinese elite cultivar;
He Dou No.16;;Improved cultivar;Shandong, China;5.17 ;0.94 ;Chinese elite cultivar;
He Feng No.30;;Improved cultivar;Heilongjiang, China;5.97 ;0.94 ;Core collection;ZDD17687
He Feng No.35;;Improved cultivar;Heilongjiang, China;6.15 ;0.94 ;Core collection;ZDD22657
He Feng No.46;;Improved cultivar;Heilongjiang, China;5.85 ;0.95 ;Chinese elite cultivar;
He Feng No.52;;Improved cultivar;Heilongjiang, China;6.64 ;0.95 ;Chinese elite cultivar;
He Long You Tai;;Landrace;Jilin, China;5.25 ;0.93 ;Core collection;ZDD07409
He Nan Chun;;Landrace;Shandong, China;4.72 ;0.92 ;-;
He Nan Xiao You Dou;;Landrace;Henan, China;5.19 ;0.94 ;-;
He Nan Zao Feng No.1;;Improved cultivar;Henan, China;7.00 ;0.94 ;Chinese elite cultivar;
He Nong No.60;;Improved cultivar;Heilongjiang, China;12.80 ;0.97 ;Chinese elite cultivar;
Hei Dou LN;;Landrace;Liaoning, China;5.28 ;0.94 ;-;
Hei Gun Dou;;Landrace;South, China;6.16 ;0.94 ;-;
Hei He No.36;;Improved cultivar;Heilongjiang, China;14.47 ;0.96 ;Chinese elite cultivar;
Hei He No.4;;Improved cultivar;Heilongjiang, China;11.81 ;0.96 ;Core collection;ZDD06815
Hei He No.46;;Improved cultivar;Heilongjiang, China;7.60 ;0.95 ;Chinese elite cultivar;
Hei He R1;;Improved cultivar;Heilongjiang, China;15.41 ;0.94 ;Chinese elite cultivar;
Hei Jia Pi Lyu Qing Dou;;Landrace;South, China;4.88 ;0.93 ;-;
Hei Nong No.2;;Improved cultivar;Heilongjiang, China;6.19 ;0.95 ;Core collection;ZDD00003
Hei Nong No.40;;Improved cultivar;Heilongjiang, China;11.25 ;0.96 ;Chinese elite cultivar;
Hei Nong No.41;;Improved cultivar;Heilongjiang, China;14.07 ;0.97 ;Chinese elite cultivar;
Hei Nong No.48;;Improved cultivar;Heilongjiang, China;11.20 ;0.96 ;Chinese elite cultivar;
Hei Nong No.50;;Improved cultivar;Heilongjiang, China;5.73 ;0.94 ;Chinese elite cultivar;
Hei Nong No.57;;Improved cultivar;Heilongjiang, China;6.06 ;0.95 ;Chinese elite cultivar;
Hei Nong No.59;;Improved cultivar;Heilongjiang, China;4.96 ;0.93 ;Chinese elite cultivar;
Hei Nong No.64;;Improved cultivar;Heilongjiang, China;5.19 ;0.94 ;Chinese elite cultivar;
Hei Nong No.68;;Improved cultivar;Heilongjiang, China;6.83 ;0.94 ;Chinese elite cultivar;
Hei Nong No.69;;Improved cultivar;Heilongjiang, China;5.73 ;0.94 ;Chinese elite cultivar;
Hei Qi Huang Dou;;Landrace;Liaoning, China;4.99 ;0.93 ;-;
Hei Yao Huang Dou;;Landrace;Shaanxi, China;5.32 ;0.93 ;-;
Heng Feng Wu Dou;;Landrace;Jiangxi, China;6.15 ;0.94 ;Core collection;ZDD06454
HK_12;;Landrace;North, China;6.55 ;0.88 ;-;
HKRdes Zao;;Landrace;South, China;5.86 ;0.95 ;-;
Hong Da Dou;;Landrace;Liaoning, China;5.58 ;0.94 ;-;
Hong Hua Dou;;Landrace;Shandong, China;5.04 ;0.93 ;-;
Hua Dou No.1;;Improved cultivar;Tianjin, China;5.59 ;0.94 ;Chinese elite cultivar;
Hua Dou No.2;;Improved cultivar;Tianjin, China;4.91 ;0.92 ;Chinese elite cultivar;
Hua Ting Yang Yan Jing Dou;;Landrace;Gansu, China;6.88 ;0.92 ;-;
Huai De Bai Hua Da Li;;Landrace;Jilin, China;4.82 ;0.92 ;Core collection;ZDD07370
Huai Yang Chun Dou;;Landrace;Jiangsu, China;6.48 ;0.95 ;-;
Huan Xian Yang Yan Jing Dou;;Landrace;Gansu, China;5.28 ;0.93 ;-;
Huang Dou 1;;Landrace;Hebei, China;5.16 ;0.93 ;Core collection;ZDD17375
Huang Dou 2;;Landrace;North, China;8.17 ;0.95 ;Core collection;ZDD08650
Huang Huai Dou;;Landrace;Shaanxi, China;6.90 ;0.94 ;-;
Huang Mao Dou;;Landrace;Hunan, China;5.10 ;0.94 ;Core collection;ZDD06528
Huang Qi;;Landrace;North, China;5.64 ;0.93 ;Core collection;ZDD01060
Huang Sha Dou_America;;Landrace;United States;5.59 ;0.94 ;-;,
Shan Xi Huang Sha Dou;;Landrace;Shaanxi, China;5.20 ;0.94 ;-;
Huang Shou Gan Dou;;Landrace;South, China;5.42 ;0.93 ;-;
Hui Bu Zhi;;Landrace;Shanxi, China;11.07 ;0.95 ;-;
Hui Lin Qing;;Landrace;Shanxi, China;6.13 ;0.93 ;-;
Hui Mao Bian Jing;;Landrace;Liaoning, China;7.99 ;0.95 ;-;
Hui Min Tu Zi Yan;;Landrace;Shandong, China;6.70 ;0.94 ;-;
Ji Dou No.1;;Improved cultivar;Jilin, China;4.71 ;0.92 ;Chinese elite cultivar;
Ji Dou No.12;;Improved cultivar;Hebei, China;5.86 ;0.94 ;Core collection;ZDD23040
Ji Dou No.15;;Improved cultivar;Hebei, China;5.57 ;0.94 ;Chinese elite cultivar;
Ji Dou No.16;;Improved cultivar;Hebei, China;5.61 ;0.93 ;Chinese elite cultivar;
Ji Dou No.17;;Improved cultivar;Hebei, China;5.13 ;0.94 ;Chinese elite cultivar;
Ji Dou No.18;;Improved cultivar;Hebei, China;6.77 ;0.95 ;Chinese elite cultivar;
Ji Dou No.19;;Improved cultivar;Hebei, China;6.59 ;0.94 ;Chinese elite cultivar;
Ji Dou No.20;;Improved cultivar;Hebei, China;7.38 ;0.95 ;Chinese elite cultivar;
Ji Dou No.21;;Improved cultivar;Hebei, China;13.27 ;0.89 ;Chinese elite cultivar;
Ji Dou No.7;;Improved cultivar;Hebei, China;6.60 ;0.91 ;Core collection;ZDD18632
Ji Huang No.13;;Improved cultivar;Hebei, China;6.39 ;0.96 ;Chinese elite cultivar;
Ji Ke Dou No.1;;Improved cultivar;Jilin, China;5.41 ;0.94 ;Chinese elite cultivar;
Ji Lin No.21;;Improved cultivar;Jilin, China;5.97 ;0.93 ;Chinese elite cultivar;
Ji Lin No.31;;Improved cultivar;Jilin, China;5.26 ;0.94 ;Chinese elite cultivar;
Ji Lin No.35;;Improved cultivar;Jilin, China;6.24 ;0.94 ;Core collection;ZDD22793
Ji Lin No.45;;Improved cultivar;Jilin, China;6.24 ;0.95 ;Chinese elite cultivar;
Ji Mo You Dou;;Landrace;Shandong, China;6.55 ;0.95 ;-;
Ji NF No.58;;Improved cultivar;Hebei, China;5.80 ;0.94 ;Chinese elite cultivar;
Ji No.56;;Improved cultivar;Jilin, China;5.41 ;0.94 ;Chinese elite cultivar;
Ji Nong No.14;;Improved cultivar;Jilin, China;5.47 ;0.94 ;Chinese elite cultivar;
Ji Nong No.23;;Improved cultivar;Jilin, China;5.60 ;0.94 ;Chinese elite cultivar;
Ji Nong No.9;;Improved cultivar;Jilin, China;5.82 ;0.93 ;Chinese elite cultivar;
Ji Qing No.1;;Improved cultivar;Jilin, China;5.41 ;0.93 ;Chinese elite cultivar;
Ji Shi Bai Hua;;Landrace;South, China;5.68 ;0.94 ;-;
Ji Ti No.2;;Improved cultivar;Liaoning, China;6.58 ;0.94 ;Chinese elite cultivar;
Ji Xiao No.6;;Improved cultivar;Jilin, China;6.41 ;0.95 ;Chinese elite cultivar;
Ji Yu No.45;;Improved cultivar;Jilin, China;4.92 ;0.93 ;Chinese elite cultivar;
Ji Yu No.53;;Improved cultivar;Jilin, China;5.73 ;0.95 ;Chinese elite cultivar;
Ji Yu No.63;;Improved cultivar;Jilin, China;6.26 ;0.94 ;Chinese elite cultivar;
Ji Yu No.76;;Improved cultivar;Jilin, China;5.56 ;0.93 ;Chinese elite cultivar;
Ji Yuan Shui Bai Dou;;Landrace;Henan, China;6.12 ;0.93 ;-;
Jian No.8;;Improved cultivar;Beijing, China;6.88 ;0.95 ;Chinese elite cultivar;
Jian No.9;;Improved cultivar;Beijing, China;6.02 ;0.94 ;Chinese elite cultivar;
Jie Jie Si;;Landrace;Anhui, China;5.34 ;0.93 ;-;
Jin Da No.74;;Improved cultivar;Shanxi, China;6.02 ;0.94 ;Chinese elite cultivar;
Jin Da No.78-1;;Improved cultivar;Shanxi, China;5.10 ;0.94 ;Chinese elite cultivar;
Jin Da No.78-2;;Improved cultivar;Shanxi, China;5.39 ;0.95 ;Chinese elite cultivar;
Jin Dou No.1;;Improved cultivar;Shanxi, China;13.48 ;0.94 ;Chinese elite cultivar;
Jin Dou No.10;;Improved cultivar;Shanxi, China;5.41 ;0.93 ;Chinese elite cultivar;
Jin Dou No.14;;Improved cultivar;Shanxi, China;6.52 ;0.94 ;Chinese elite cultivar;
Jin Dou No.16;;Improved cultivar;Shanxi, China;7.41 ;0.95 ;Core collection;ZDD18848
Jin Dou No.19;;Improved cultivar;Shanxi, China;6.28 ;0.95 ;Chinese elite cultivar;
Jin Dou No.2;;Improved cultivar;Shanxi, China;6.31 ;0.93 ;Chinese elite cultivar;
Jin Dou No.21;;Improved cultivar;Shanxi, China;6.47 ;0.93 ;Core collection;
Jin Dou No.23;;Improved cultivar;Shanxi, China;10.15 ;0.96 ;Chinese elite cultivar;
Jin Dou No.25;;Improved cultivar;Shanxi, China;6.75 ;0.93 ;Chinese elite cultivar;
Jin Dou No.29;;Improved cultivar;Shanxi, China;7.15 ;0.95 ;Chinese elite cultivar;
Jin Dou No.34;;Improved cultivar;Shanxi, China;5.19 ;0.93 ;Chinese elite cultivar;
Jin Dou No.39;;Improved cultivar;Shanxi, China;5.28 ;0.93 ;Chinese elite cultivar;
Jin Dou No.41;;Improved cultivar;Shanxi, China;5.69 ;0.93 ;Chinese elite cultivar;
Jin Dou No.43;;Improved cultivar;Shanxi, China;5.31 ;0.92 ;Chinese elite cultivar;
Jin Dou No.501;;Improved cultivar;Shanxi, China;6.36 ;0.93 ;Chinese elite cultivar;
Jin Yi No.10;;Improved cultivar;Shanxi, China;6.51 ;0.93 ;Chinese elite cultivar;
Jin Yi No.31;;Improved cultivar;Shanxi, China;4.94 ;0.91 ;Chinese elite cultivar;
Jin Yi No.43;;Improved cultivar;Shanxi, China;6.04 ;0.95 ;Chinese elite cultivar;
Jin Yi No.46;;Improved cultivar;Shanxi, China;5.43 ;0.94 ;Chinese elite cultivar;
Jin Yi No.51;;Improved cultivar;Shanxi, China;5.03 ;0.93 ;Chinese elite cultivar;
Jin Yi No.52;;Improved cultivar;Shanxi, China;5.76 ;0.94 ;Chinese elite cultivar;
Jin Yi No.59;;Improved cultivar;Shanxi, China;5.51 ;0.94 ;Chinese elite cultivar;
Jin Yuan;;Landrace;Liaoning, China;5.38 ;0.92 ;-;
Jin Yuan No.2;;Improved cultivar;Heilongjiang, China;5.23 ;0.92 ;Chinese elite cultivar;
Jin Zao No.16;;Improved cultivar;Shanxi, China;5.71 ;0.94 ;Chinese elite cultivar;
Jing Feng No.1;;Improved cultivar;Beijing, China;4.76 ;0.92 ;Chinese elite cultivar;
Jing Huang No.03-5;;Improved cultivar;Beijing, China;6.09 ;0.95 ;Chinese elite cultivar;
Jing Huang No.3;;Improved cultivar;Beijing, China;6.66 ;0.95 ;Chinese elite cultivar;
Jing Xuan No.2;;Improved cultivar;Hebei, China;6.09 ;0.94 ;Chinese elite cultivar;
Jing Yin Ke Xuan No.1;;Improved cultivar;Beijing, China;5.48 ;0.94 ;Chinese elite cultivar;
Jiu Nong No.21;;Improved cultivar;Jilin, China;6.61 ;0.95 ;Core collection;ZDD22796
Jiu Nong No.27;;Improved cultivar;Jilin, China;4.79 ;0.93 ;Chinese elite cultivar;
Ju Xuan No.23;;Improved cultivar;Shandong, China;5.29 ;0.93 ;Core collection;ZDD02615
K099;;Landrace;Shanxi, China;5.12 ;0.94 ;-;
K20-3;;Landrace;Beijing, China;4.74 ;0.93 ;-;
K3;;Improved cultivar;Thailand;11.59 ;0.97 ;-;,
K9602-1;;Landrace;Beijing, China;4.72 ;0.92 ;-;
Kai Feng Qing Dou;;Landrace;Henan, China;6.22 ;0.94 ;-;
Kang Xian No.3;;Improved cultivar;Heilongjiang, China;7.19 ;0.95 ;Chinese elite cultivar;
Ke Bei No.1;;Improved cultivar;Heilongjiang, China;5.75 ;0.94 ;Core collection;ZDD00046
Ke Dou No.1;;Improved cultivar;Beijing, China;6.05 ;0.93 ;Chinese elite cultivar;
Ke Feng No.1;;Improved cultivar;Beijing, China;6.41 ;0.94 ;Chinese elite cultivar;
Ke Feng No.14;;Improved cultivar;Beijing, China;7.90 ;0.95 ;Chinese elite cultivar;
Ke Feng No.15;;Improved cultivar;Beijing, China;6.40 ;0.95 ;Chinese elite cultivar;
Ke Feng No.29;;Improved cultivar;Beijing, China;5.98 ;0.93 ;Chinese elite cultivar;
Ke Feng No.35;;Improved cultivar;Beijing, China;6.23 ;0.94 ;Chinese elite cultivar;
Ke Feng No.53;;Improved cultivar;Beijing, China;7.18 ;0.94 ;Core collection;
Ke Feng No.6;;Improved cultivar;Beijing, China;10.53 ;0.87 ;Core collection;ZDD08024
Ke Huang No.3;;Improved cultivar;Beijing, China;4.76 ;0.92 ;Chinese elite cultivar;
Ke Xi No.8;;Improved cultivar;Beijing, China;4.75 ;0.92 ;Chinese elite cultivar;
Ke Xin No.3;;Improved cultivar;Beijing, China;6.31 ;0.94 ;Core collection;
Ke Xin No.4;;Improved cultivar;Beijing, China;5.58 ;0.94 ;Core collection;
Ke Xin No.6;;Improved cultivar;Beijing, China;7.68 ;0.94 ;Chinese elite cultivar;
Ke Xin No.8;;Improved cultivar;Beijing, China;5.76 ;0.93 ;Chinese elite cultivar;
Ken Dou No.25;;Improved cultivar;Heilongjiang, China;5.84 ;0.94 ;Chinese elite cultivar;
Ken Dou No.30;;Improved cultivar;Heilongjiang, China;5.85 ;0.94 ;Chinese elite cultivar;
Ken Dou No.33;;Improved cultivar;Heilongjiang, China;6.61 ;0.94 ;Chinese elite cultivar;
Ken Feng No.14;;Improved cultivar;Heilongjiang, China;7.58 ;0.95 ;Chinese elite cultivar;
Ken Feng No.15;;Improved cultivar;Heilongjiang, China;14.84 ;0.96 ;Chinese elite cultivar;
Ken Feng No.19;;Improved cultivar;Heilongjiang, China;12.84 ;0.96 ;Chinese elite cultivar;
Ken Feng No.6;;Improved cultivar;Heilongjiang, China;5.01 ;0.93 ;Chinese elite cultivar;
Ken Nong No.14;;Improved cultivar;Heilongjiang, China;13.56 ;0.96 ;Chinese elite cultivar;
Ken Nong No.4;;Improved cultivar;Heilongjiang, China;10.14 ;0.94 ;Core collection;ZDD22653
Ken Nong No.5;;Improved cultivar;Heilongjiang, China;6.69 ;0.95 ;Chinese elite cultivar;
Kuai Qing Pi;;Landrace;Liaoning, China;5.39 ;0.94 ;-;
Kuban BenDi No.1;;Landrace;Russia;5.72 ;0.94 ;-;WDD01181,
L60-246;;Landrace;Illinois, United States;6.92 ;0.96 ;Core collection;WDD00007
Lai Wu Ba Yue Zha;;Landrace;Shandong, China;6.15 ;0.94 ;-;
Lao Shu Pi;;Landrace;Shaanxi, China;6.15 ;0.94 ;Core collection;ZDD10615
Le Shan Da Huang Ke;;Landrace;Sichuan, China;6.77 ;0.95 ;-;
Le Shan Zi Pi Dou;;Landrace;Sichuan, China;7.72 ;0.93 ;-;
Lei Lei Dou;;Landrace;Shanxi, China;6.16 ;0.94 ;-;
Li Cheng Xiao Li Qing;;Landrace;Shandong, China;7.60 ;0.95 ;-;
Liao Dou No.10;;Improved cultivar;Liaoning, China;5.92 ;0.94 ;Chinese elite cultivar;
Liao Dou No.16;;Improved cultivar;Liaoning, China;5.50 ;0.93 ;Chinese elite cultivar;
Liao Dou No.22;;Improved cultivar;Liaoning, China;6.09 ;0.94 ;Chinese elite cultivar;
Liao Dou No.31;;Improved cultivar;Liaoning, China;5.98 ;0.95 ;Chinese elite cultivar;
Lin Dou No.10;;Improved cultivar;Shandong, China;14.18 ;0.93 ;Chinese elite cultivar;
Lin Xian Cao Huang Dou;;Landrace;Henan, China;7.45 ;0.95 ;-;
Lincoln;;Improved cultivar;Illinois, United States;6.78 ;0.96 ;-;
Liu Shi Ri Jin Huang Da Dou;;Landrace;Shandong, China;6.05 ;0.95 ;-;
Liu Shi Tian Huan Cang;;Landrace;Liaoning, China;6.92 ;0.94 ;Core collection;ZDD01421
Liu Yue Bao;;Landrace;Anhui, China;5.90 ;0.93 ;-;
Liu Yue Hong;;Landrace;Shandong, China;5.70 ;0.94 ;-;
