PI CGN# & Name ;NBT ID;Type;Origin ;Depth ;Coverage ;Note;NCGRC* ID,
Long Hei No.1;;Improved cultivar;Heilongjiang, China;5.76 ;0.95 ;Chinese elite cultivar;
Long Xiao Li Dou No.1;;Improved cultivar;Heilongjiang, China;5.40 ;0.93 ;Chinese elite cultivar;
Long Xuan No.1;;Improved cultivar;Heilongjiang, China;6.94 ;0.95 ;Core collection;
Lu Dou No.4;;Improved cultivar;Shandong, China;7.02 ;0.90 ;Core collection;
Lu Tuan Bai Jian Ke;;Landrace;Anhui, China;4.99 ;0.93 ;-;
Lyu Cao Dou;;Landrace;Shandong, China;5.73 ;0.93 ;Core collection;ZDD02940
Lyu Xin Lao Ya Ling;;Landrace;Shaanxi, China;5.20 ;0.94 ;-;
Ma Ma Niu Mao Huang;;Landrace;Shaanxi, China;6.62 ;0.95 ;-;
Ma Yi Qi Hei Dou;;Landrace;Beijing, China;6.69 ;0.94 ;-;
Mamotan_F-8_A;;Landrace;Mississippi, United States;5.15 ;0.94 ;-;WDD00744
Mao Dou Zi;;Landrace;Hebei, China;5.03 ;0.93 ;-;
Mao Huang Dou;;Landrace;Shandong, China;4.91 ;0.93 ;-;
Mao Jia Dou;;Landrace;Liaoning, China;5.81 ;0.94 ;-;
Mei Guo Da Dou;;Improved cultivar;United States;6.28 ;0.94 ;-;WDD01044,
Mei Guo Hak08g;;Improved cultivar;United States;5.96 ;0.95 ;-;,
Mei No.2;;Improved cultivar;United States;6.06 ;0.95 ;-;,
Meng Cheng Ba Yue Zha;;Landrace;Anhui, China;6.46 ;0.94 ;-;
Meng Dou No.11;;Improved cultivar;Innermongolia, China;5.15 ;0.93 ;Chinese elite cultivar;
Meng Qing No.3;;Improved cultivar;Anhui, China;5.81 ;0.94 ;Chinese elite cultivar;
Mi Feng Qiu;;Landrace;Anhui, China;7.03 ;0.95 ;-;
Mi Yun Hua Lian Hu;;Landrace;Beijing, China;6.04 ;0.94 ;-;
Mi Yun Hua Yao;;Landrace;Beijing, China;5.43 ;0.93 ;-;
Mi Yun Lao Ye Lian;;Landrace;Beijing, China;5.15 ;0.93 ;Core collection;ZDD08018
Mo He No.1;;Improved cultivar;Heilongjiang, China;10.55 ;0.92 ;Chinese elite cultivar;
Mo Shi;;Landrace;Shandong, China;6.03 ;0.95 ;-;
Mufeng No.1;;Improved cultivar;Heilongjiang, China;12.73 ;0.89 ;Chinese elite cultivar;
Nan Nong Cai Dou No.5;;Improved cultivar;Jiangsu, China;11.92 ;0.91 ;Chinese elite cultivar;
Nan Nong Da Huang Dou;;Improved cultivar;Jiangsu, China;8.78 ;0.96 ;Chinese elite cultivar;
Nan Nong No.493-1;;Improved cultivar;Jiangsu, China;4.81 ;0.92 ;Chinese elite cultivar;
Nen Feng No.11;;Improved cultivar;Heilongjiang, China;6.28 ;0.94 ;Core collection;ZDD06819
Nen Feng No.16;;Improved cultivar;Heilongjiang, China;5.68 ;0.93 ;Chinese elite cultivar;
Ni Ri Li Ya No.4;;Improved cultivar;Nigeria;9.45 ;0.94 ;-;,
Ning Xian Yi Wo Feng;;Landrace;Gansu, China;7.17 ;0.95 ;-;
Ning Yang Jiao Zi Ye;;Landrace;Shandong, China;5.34 ;0.93 ;-;
Ning Zhen No.1;;Landrace;Jiangsu, China;5.30 ;0.93 ;-;
Niu Jiao Qi;;Landrace;Shandong, China;5.16 ;0.92 ;-;
Niu Mao Huang;;Landrace;North, China;5.51 ;0.93 ;Core collection;ZDD00610
Niu Mao Huang Hei Dou;;Landrace;Shanxi, China;5.59 ;0.94 ;-;
Niu Yan Jing Quan Zi;;Landrace;Shaanxi, China;7.14 ;0.95 ;-;
Pa Man Qing;;Landrace;Shandong, China;6.09 ;0.95 ;-;
Pei Xian Ba Yue Zha;;Landrace;Jiangsu, China;6.37 ;0.92 ;-;
Pei Xian Da Bai Jiao;;Landrace;Jiangsu, China;6.47 ;0.94 ;Core collection;ZDD03871
Pei Xian Hong Mao You;;Landrace;Jiangsu, China;5.68 ;0.94 ;Core collection;ZDD03733
Pei Xian Hong Mao You Jia;;Landrace;Jiangsu, China;7.01 ;0.94 ;-;
Pei Xian La Yang Huang;;Landrace;Jiangsu, China;5.72 ;0.94 ;Core collection;ZDD03969
Pei Xian Si Li Cao;;Landrace;Jiangsu, China;5.92 ;0.94 ;Core collection;ZDD03741
Peng Xi Da Liu Yue Huang;;Landrace;Sichuan, China;6.04 ;0.93 ;-;
PI 297543;;Landrace;North, China;5.53 ;0.94 ;-;
PI 317334B;;Improved cultivar;Hokkaido, Japan;22.28 ;0.96 ;-;
PI 423766;;Landrace;Kangwon, South Korea;5.71 ;0.94 ;-;
PI 525453_Conrad;;Landrace;Iowa, United States;6.88 ;0.95 ;-;WDD01574
PI 547539_L71-1403;;Landrace;Illinois, United States;6.22 ;0.95 ;-;WDD00040
PI 547549_L72-1832;;Landrace;Illinois, United States;7.11 ;0.95 ;-;WDD00049
PI 547553_L72-1893;;Landrace;Illinois, United States;5.02 ;0.93 ;-;WDD00047
PI 547612_L74-826;;Landrace;Illinois, United States;10.85 ;0.96 ;-;WDD01760
PI 547732_L67-234;;Landrace;Illinois, United States;5.13 ;0.92 ;Core collection;WDD00181
PI 547745_L70-4136;;Landrace;Illinois, United States;5.53 ;0.93 ;Core collection;WDD00198
PI 547782_L73D-2743;;Landrace;Illinois, United States;6.15 ;0.94 ;-;WDD01835
PI 547786_L79-842;;Landrace;Illinois, United States;5.78 ;0.94 ;-;WDD01839
PI 548170_T122;;Landrace;Illinois, United States;5.62 ;0.93 ;-;WDD00260
PI 548318;;Landrace;Jilin, China;4.97 ;0.94 ;-;WDD00414
PI 548533_Clark;;Improved cultivar;Illinois, United States;5.04 ;0.94 ;Core collection;WDD00001
PI 548560_Evans;;Improved cultivar;Minnesota, United States;5.76 ;0.94 ;-;WDD00493
PI 556511_A3127;;Landrace;United States;6.70 ;0.96 ;-;,
PI 567238;;Landrace;Yunnan, China;6.25 ;0.94 ;-;
PI 567368;;Landrace;Ningxia, China;5.71 ;0.91 ;-;
PI 567481;;Landrace;Hebei, China;6.31 ;0.96 ;-;
PI 567700;;Landrace;Anhui, China;7.55 ;0.95 ;-;
PI 567720A;;Landrace;Anhui, China;6.46 ;0.94 ;-;
PI 567730;;Landrace;Anhui, China;5.98 ;0.94 ;-;
PI 59845;;Landrace;Akita, Japan;4.87 ;0.92 ;-;
PI 632420_X88;;Landrace;Ohio, United States;5.89 ;0.94 ;-;
PI 81775;;Landrace;Akita, Japan;5.67 ;0.93 ;-;
PI 283327;;Landrace;Taiwan, China;10.23 ;0.89 ;-;
Ping Ding Hei;;Landrace;Shandong, China;6.62 ;0.94 ;Core collection;ZDD03026
Ping Ding Huang Dou;;Landrace;Shandong, China;5.69 ;0.93 ;Core collection;ZDD02864
Ping Yi Liu Yue Xian;;Landrace;Shandong, China;5.57 ;0.94 ;-;
PolandYellow;;Improved cultivar;Poland;7.80 ;0.95 ;-;WDD00356,
Pu Dong Da Huang Dou;;Landrace;Shanghai, China;6.24 ;0.94 ;-;
Qi Dong Guan Qing Dou Jia;;Landrace;Jiangsu, China;9.23 ;0.95 ;-;
Qi Huang No.25;;Improved cultivar;Shandong, China;5.78 ;0.94 ;Chinese elite cultivar;
Qi Huang No.26;;Improved cultivar;Shandong, China;5.30 ;0.94 ;Chinese elite cultivar;
Qi Huang No.28;;Improved cultivar;Shandong, China;7.50 ;0.95 ;Chinese elite cultivar;
Qi Huang No.30;;Improved cultivar;Shandong, China;6.31 ;0.95 ;Chinese elite cultivar;
Qi Huang No.31;;Improved cultivar;Shandong, China;7.40 ;0.95 ;Chinese elite cultivar;
Qi Huang No.33;;Improved cultivar;Shandong, China;5.89 ;0.94 ;Chinese elite cultivar;
Qi Si Mi;;Landrace;Shandong, China;6.56 ;0.94 ;-;
Qi Yue Zha;;Landrace;Shandong, China;6.16 ;0.94 ;-;
Qian An Yi Li Chuan;;Landrace;Shaanxi, China;6.66 ;0.95 ;-;
Qiao Ning Ping Ding Huang;;Landrace;Jiangsu, China;6.18 ;0.94 ;-;
Qin Yang Bai Dou;;Landrace;Henan, China;6.68 ;0.94 ;Core collection;ZDD03260
Qing An Hei Dou;;Landrace;Heilongjiang, China;6.09 ;0.94 ;Core collection;ZDD00310
Qing Ke Yuan Dou;;Landrace;Shanxi, China;5.56 ;0.93 ;Core collection;ZDD08633
Qing Mo Shi Dou;;Landrace;Liaoning, China;7.06 ;0.95 ;-;
Qing No.6;;Landrace;Shandong, China;4.73 ;0.92 ;Core collection;ZDD02921
Bo Tou Qing Pi Dou;;Landrace;Hebei, China;4.84 ;0.93 ;-;
Qing Pi Ping Ding Xiang;;Landrace;Liaoning, China;5.63 ;0.92 ;-;
Qun Xuan No.1;;Improved cultivar;Jilin, China;6.56 ;0.95 ;Chinese elite cultivar;
Rao Shan Gun;;Landrace;Hebei, China;6.44 ;0.95 ;-;
Ri Ben Hei Qi;;Landrace;Japan;7.05 ;0.96 ;-;,
Rui Jin Qing Pi Dou;;Landrace;Jiangxi, China;5.63 ;0.94 ;Core collection;ZDD06501
Shan Dou No.125;;Improved cultivar;Shaanxi, China;7.15 ;0.95 ;Chinese elite cultivar;
Shan Ning No.12;;Improved cultivar;Shandong, China;16.91 ;0.97 ;Chinese elite cultivar;
Shan Ning No.7;;Improved cultivar;Shandong, China;5.19 ;0.94 ;Chinese elite cultivar;
Shan Xi Ping Ding Huang;;Landrace;Shanxi, China;5.13 ;0.94 ;-;
Shang Hai Chi Sha Huang Dou;;Landrace;Shanghai, China;5.25 ;0.92 ;-;
Shang Qiu Jiu Yue Qing;;Landrace;Henan, China;6.92 ;0.94 ;-;
Shang Qiu Ping Ding Shi;;Landrace;Henan, China;5.86 ;0.94 ;-;
Shi Da Dou No.1;;Landrace;Xinjiang, China;6.03 ;0.94 ;Core collection;ZDD23898
Shi Da Dou No.2;;Landrace;Xinjiang, China;5.67 ;0.94 ;-;
Shi Dou No.411;;Improved cultivar;Hebei, China;5.14 ;0.93 ;Chinese elite cultivar;
Shi Mian Da Dou Zi;;Landrace;Sichuan, China;6.25 ;0.95 ;-;
Shi Sheng Chang Ye;;Improved cultivar;Hokkaido, Japan;5.89 ;0.95 ;-;
Shu Yang Da Qing Dou Jia;;Landrace;Jiangsu, China;6.96 ;0.95 ;-;
Shu Yang Gua Shu;;Landrace;Jiangsu, China;5.46 ;0.94 ;-;
Shui Li Zhan;;Landrace;Shandong, China;5.28 ;0.93 ;Core collection;ZDD00564
Shui Niu Pi;;Landrace;Anhui, China;5.60 ;0.94 ;-;
Shui Pi Qing Dou;;Landrace;Shandong, China;6.52 ;0.93 ;-;
Shun Yi Hei Dou;;Landrace;Beijing, China;5.38 ;0.93 ;-;
Si Jiao Qi;;Landrace;Shandong, China;5.32 ;0.93 ;Core collection;ZDD02802
Si Jiao Qi Huang Dou;;Landrace;Hebei, China;6.35 ;0.94 ;Core collection;ZDD01720
Si Li Hei Dou;;Landrace;Shandong, China;7.22 ;0.95 ;-;
Si Li Jia;;Landrace;Anhui, China;6.28 ;0.94 ;-;
Si Li Jia Da Dou;;Landrace;Heilongjiang, China;6.72 ;0.94 ;-;
Si Li Yuan;;Landrace;Shandong, China;5.83 ;0.93 ;Core collection;ZDD02764
Song Jiang Deng Xi Feng Jia;;Landrace;Shanghai, China;5.96 ;0.94 ;-;
SRF 300;;Improved cultivar;Illinois, United States;6.14 ;0.96 ;-;WDD01900
Su Dou No.1;;Landrace;Jiangsu, China;7.34 ;0.95 ;-;
Su Xian Ping Ding Wu;;Landrace;Anhui, China;4.77 ;0.93 ;-;
Su Xian Tian E Dan;;Landrace;Anhui, China;6.19 ;0.93 ;-;
Su Zhou Wu Yue Mao Jia;;Landrace;Jiangsu, China;5.63 ;0.94 ;-;
Sui Ke No.928;;Improved cultivar;Anhui, China;4.99 ;0.92 ;Chinese elite cultivar;
Sui Ning Da Qing Dou Jia;;Landrace;Jiangsu, China;7.29 ;0.96 ;-;
Sui Nong No.16;;Improved cultivar;Heilongjiang, China;5.63 ;0.93 ;Chinese elite cultivar;
Sui Nong No.22;;Improved cultivar;Heilongjiang, China;5.98 ;0.94 ;Chinese elite cultivar;
Sui Nong No.30;;Improved cultivar;Heilongjiang, China;5.50 ;0.93 ;Chinese elite cultivar;
Sui Wu Xing No.1;;Improved cultivar;Heilongjiang, China;13.81 ;0.91 ;Chinese elite cultivar;
Sui Xiao Li Dou No.1;;Improved cultivar;Heilongjiang, China;5.65 ;0.93 ;Chinese elite cultivar;
Tai An Ba Yue Zha;;Landrace;Shandong, China;6.88 ;0.95 ;-;
Tai Gu Zao;;Landrace;Shanxi, China;6.04 ;0.95 ;-;
Tai Nong No.15;;Improved cultivar;Taiwan, China;5.59 ;0.94 ;Chinese elite cultivar;
Tai Wan No.75;;Improved cultivar;Taiwan, China;10.93 ;0.91 ;Chinese elite cultivar;
Tai Xing Hei Dou;;Landrace;Jiangsu, China;6.25 ;0.94 ;Core collection;ZDD04429
Tai Zhou Bai Hua Wu Jia No.2;;Landrace;Jiangsu, China;5.83 ;0.94 ;-;
Tan Er Bai;;Landrace;Gansu, China;6.40 ;0.94 ;-;
Te Da Dou No.1;;Landrace;South, China;6.47 ;0.94 ;-;
Te Da Li;;Landrace;Shaanxi, China;6.56 ;0.95 ;-;
Teng Xian Da Wu Ye;;Landrace;Shandong, China;6.36 ;0.94 ;-;
Tian E Dan 2;;Landrace;South, China;6.34 ;0.93 ;-;
Tie Dou No.37;;Improved cultivar;Liaoning, China;5.41 ;0.93 ;Chinese elite cultivar;
Tie Dou No.61;;Improved cultivar;Liaoning, China;6.34 ;0.94 ;Chinese elite cultivar;
Tie Feng No.31;;Improved cultivar;Liaoning, China;5.93 ;0.94 ;Chinese elite cultivar;
Tie Feng No.35;;Improved cultivar;Liaoning, China;4.92 ;0.93 ;Chinese elite cultivar;
Tie Jia Hei;;Landrace;Hebei, China;5.29 ;0.93 ;-;
Tie Jiao Huang;;Landrace;Anhui, China;6.84 ;0.95 ;Core collection;ZDD02883
TK780;;Improved cultivar;Hokkaido, Japan;11.53 ;0.97 ;-;
Tong Shan Hu Shan Da Si Li;;Landrace;Jiangsu, China;6.03 ;0.94 ;-;
Tong Shan Tian E Dan;;Landrace;Jiangsu, China;7.16 ;0.95 ;Core collection;ZDD03916
Tong Xian Hei Shui Dou;;Landrace;Beijing, China;7.76 ;0.94 ;-;
Tong Ye Ping;;Landrace;North, China;6.70 ;0.94 ;-;
Tu Er Yan;;Landrace;Hebei, China;7.50 ;0.95 ;Core collection;ZDD01612
Tu Hei Dou;;Landrace;Shanxi, China;5.56 ;0.94 ;-;
Wan Dou No.24;;Improved cultivar;Anhui, China;12.58 ;0.96 ;Chinese elite cultivar;
Wan Dou No.28;;Improved cultivar;Anhui, China;6.08 ;0.94 ;Chinese elite cultivar;
Wan Dou No.29;;Improved cultivar;Anhui, China;5.09 ;0.93 ;Chinese elite cultivar;
Wan Dou No.30;;Improved cultivar;Anhui, China;4.81 ;0.93 ;Chinese elite cultivar;
Wan Dou Zao;;Landrace;Shaanxi, China;6.38 ;0.94 ;-;
Wang Zhong Wang;;Landrace;Xinjiang, China;5.48 ;0.93 ;-;
WD001;;Landrace;North, China;6.57 ;0.95 ;-;
Wei Xian Gu Li Hun Qing Dou;;Landrace;Shandong, China;6.12 ;0.93 ;-;
Wu Chang Liu Yue Bao;;Landrace;Hubei, China;5.30 ;0.93 ;Core collection;ZDD05493
Wu Jin Ben Niu Qing Dou;;Landrace;Jiangsu, China;6.23 ;0.94 ;-;
Wu Ming;;Landrace;Anhui, China;5.45 ;0.94 ;-;
Wu Xing No.1;;Improved cultivar;Hebei, China;5.07 ;0.94 ;Chinese elite cultivar;
Wu Xing No.2;;Improved cultivar;Hebei, China;5.73 ;0.93 ;Core collection;
Wu Xing No.3;;Improved cultivar;Hebei, China;5.93 ;0.94 ;Chinese elite cultivar;
Xepcoh BenDi No.1;;Landrace;Xepcoh, Ukraine;5.24 ;0.93 ;-;WDD01191
Xi Chuan Ji Wo Huang;;Landrace;Henan, China;4.96 ;0.93 ;Core collection;ZDD03237
Xi Zang Da Dou No.3;;Improved cultivar;Tibet, China;15.24 ;0.93 ;Chinese elite cultivar;
Xiao Bian Yuan Dou;;Landrace;Liaoning, China;6.97 ;0.94 ;-;
Xiao Hei Dou;;Landrace;Sichuan, China;5.73 ;0.94 ;Core collection;ZDD09279
Hong Tong Xiao Hei Dou;;Landrace;Shanxi, China;5.73 ;0.93 ;-;
Xiao Hua Dou;;Landrace;Anhui, China;6.46 ;0.94 ;-;
Xiao Huang Dou 2;;Landrace;North, China;7.07 ;0.95 ;-;
Xiao Jin Huang;;Landrace;Liaoning, China;6.07 ;0.95 ;Core collection;ZDD00451
Xiao Jin Yuan;;Landrace;Hebei, China;5.79 ;0.95 ;-;
Xiao Lao Shu Yan Hei Dou;;Landrace;Shandong, China;7.26 ;0.94 ;-;
Xiao Li Hei;;Landrace;Shandong, China;7.48 ;0.95 ;-;
Xiao Li Huang;;Landrace;Hebei, China;5.31 ;0.94 ;-;
Xiao Qing Dou;;Landrace;South, China;6.52 ;0.94 ;Core collection;ZDD09136
Xin Da Dou No.1;;Landrace;Xinjiang, China;4.97 ;0.92 ;Core collection;ZDD23900
Xin Da Dou No.8;;Improved cultivar;Heilongjiang, China;6.35 ;0.95 ;Chinese elite cultivar;
Xin Jiang Zao Shu Pin Zhong;;Landrace;Xinjiang, China;4.86 ;0.93 ;-;
Xin Yang Yang Yan Dou;;Landrace;Henan, China;5.27 ;0.92 ;-;
Xing Hua Ma Shi Zi Ding;;Landrace;Jiangsu, China;6.02 ;0.93 ;-;
Xiong Yue Xiao Li Huang;;Landrace;Liaoning, China;5.53 ;0.94 ;-;
Xu Dou No.10;;Improved cultivar;Jiangsu, China;5.63 ;0.94 ;Chinese elite cultivar;
Xu Dou No.11;;Improved cultivar;Jiangsu, China;6.01 ;0.94 ;Chinese elite cultivar;
Xu Dou No.12;;Improved cultivar;Jiangsu, China;6.29 ;0.95 ;Chinese elite cultivar;
Xu Dou No.13;;Improved cultivar;Jiangsu, China;6.58 ;0.95 ;Chinese elite cultivar;
Xu Dou No.14;;Improved cultivar;Jiangsu, China;6.74 ;0.95 ;Chinese elite cultivar;
Xu Dou No.15;;Improved cultivar;Jiangsu, China;6.23 ;0.94 ;Chinese elite cultivar;
Xu Dou No.16;;Improved cultivar;Jiangsu, China;5.14 ;0.92 ;Chinese elite cultivar;
Xu Dou No.17;;Improved cultivar;Jiangsu, China;5.71 ;0.94 ;Chinese elite cultivar;
Xu Dou No.9;;Improved cultivar;Jiangsu, China;4.90 ;0.92 ;Chinese elite cultivar;
Xu No.0705;;Improved cultivar;Jiangsu, China;6.67 ;0.92 ;Chinese elite cultivar;
Xu Zhou Xiao You Dou;;Landrace;Jiangsu, China;6.19 ;0.94 ;-;
Yan An Dou;;Landrace;Shaanxi, China;5.74 ;0.93 ;-;
Yan Cheng Qi Si Ni Dou;;Landrace;Henan, China;6.37 ;0.94 ;-;
Yan Huang No.1;;Landrace;Shandong, China;5.51 ;0.93 ;-;
Yan Nong No.3;;Improved cultivar;Jilin, China;6.96 ;0.94 ;Chinese elite cultivar;
Yan Tian Qing Pi Dou;;Landrace;Jiangxi, China;5.71 ;0.94 ;-;
Yang Da Li;;Landrace;Liaoning, China;5.56 ;0.94 ;-;
Yang Tian Xiao Huang Dou;;Landrace;Hebei, China;5.49 ;0.93 ;-;
Yang Yan;;Landrace;Shandong, China;6.50 ;0.93 ;-;
Ye Xian Hong Gun Dou;;Landrace;Henan, China;4.97 ;0.92 ;-;
Yi Du Ping Ding Huang;;Landrace;Shandong, China;5.46 ;0.94 ;-;
Yi Li Hei Dou;;Landrace;South, China;6.70 ;0.95 ;-;
Wu Gong Yi Wo Feng;;Landrace;Shaanxi, China;5.74 ;0.95 ;-;
Yong Cheng Xiao Jian Ke;;Landrace;Henan, China;5.18 ;0.91 ;-;
Yong Cheng Yang Yan Dou;;Landrace;Henan, China;5.97 ;0.94 ;-;
You Bian No.30;;Improved cultivar;Beijing, China;6.38 ;0.93 ;Core collection;ZDD07987
Yu Dou No.10;;Improved cultivar;Henan, China;8.02 ;0.95 ;Chinese elite cultivar;
Yu Dou No.12;;Improved cultivar;Henan, China;5.57 ;0.94 ;Core collection;
Yu Dou No.18;;Improved cultivar;Henan, China;7.50 ;0.95 ;Core collection;ZDD19409
Yu Dou No.2;;Improved cultivar;Henan, China;6.50 ;0.94 ;Core collection;ZDD10089
Yu Dou No.22;;Improved cultivar;Henan, China;7.89 ;0.95 ;Core collection;
Yu Dou No.25;;Improved cultivar;Henan, China;7.80 ;0.95 ;Core collection;
Yu Dou No.28;;Improved cultivar;Henan, China;7.10 ;0.95 ;Chinese elite cultivar;
Yu Dou No.8;;Improved cultivar;Henan, China;5.03 ;0.92 ;Chinese elite cultivar;
Yu Xian Xiao Zi Cao Hei Dou;;Landrace;Henan, China;6.45 ;0.94 ;-;
Yu Xuan No.13;;Improved cultivar;Shanxi, China;8.68 ;0.95 ;Core collection;ZDD08697
Zao Shu No.17;;Improved cultivar;Beijing, China;7.43 ;0.95 ;Chinese elite cultivar;
Zao Shu No.18;;Improved cultivar;Beijing, China;5.89 ;0.94 ;Chinese elite cultivar;
Zao Zhuang Leng Da Dou;;Landrace;Shandong, China;5.52 ;0.94 ;-;
Zhang Qiu Jia Huang Dou;;Landrace;Shandong, China;5.48 ;0.93 ;-;
Zhen Yuan Ba Yue Zha;;Landrace;Gansu, China;7.92 ;0.95 ;-;
Zheng Ning Lyu Huang Dou;;Landrace;Gansu, China;5.01 ;0.93 ;-;
Zheng No.59;;Improved cultivar;Henan, China;5.17 ;0.93 ;Chinese elite cultivar;
Zheng No.7016;;Improved cultivar;Henan, China;6.79 ;0.94 ;Chinese elite cultivar;
Zheng No.92029;;Improved cultivar;Henan, China;9.21 ;0.96 ;Chinese elite cultivar;
Zheng No.9525;;Improved cultivar;Henan, China;6.31 ;0.94 ;Core collection;
Zheng No.97196;;Improved cultivar;Henan, China;6.56 ;0.95 ;Chinese elite cultivar;
Zheng No.9805;;Improved cultivar;Henan, China;9.47 ;0.85 ;Chinese elite cultivar;
Zheng Zhou No.135;;Improved cultivar;Henan, China;5.94 ;0.94 ;Core collection;ZDD10085
Zhong Huang No.10;;Improved cultivar;Beijing, China;6.74 ;0.94 ;Core collection;
Zhong Huang No.19;;Improved cultivar;Beijing, China;7.59 ;0.96 ;Chinese elite cultivar;
Zhong Huang No.24;;Improved cultivar;Beijing, China;5.09 ;0.94 ;Chinese elite cultivar;
Zhong Huang No.28;;Improved cultivar;Beijing, China;5.65 ;0.94 ;Core collection;
Zhong Huang No.30;;Improved cultivar;Beijing, China;5.13 ;0.94 ;Chinese elite cultivar;
Zhong Huang No.34;;Improved cultivar;Beijing, China;6.93 ;0.94 ;Chinese elite cultivar;
Zhong Huang No.39;;Improved cultivar;Beijing, China;12.58 ;0.93 ;Chinese elite cultivar;
Zhong Huang No.4;;Improved cultivar;Beijing, China;5.02 ;0.92 ;Core collection;ZDD18402
Zhong Huang No.41;;Improved cultivar;Beijing, China;4.72 ;0.91 ;Chinese elite cultivar;
Zhong Huang No.43;;Improved cultivar;Beijing, China;6.78 ;0.94 ;Chinese elite cultivar;
Zhong Huang No.44;;Improved cultivar;Beijing, China;6.79 ;0.95 ;Chinese elite cultivar;
Zhong Huang No.48;;Improved cultivar;Beijing, China;5.62 ;0.94 ;Chinese elite cultivar;
Zhong Huang No.49;;Improved cultivar;Beijing, China;6.62 ;0.95 ;Chinese elite cultivar;
Zhong Huang No.55;;Improved cultivar;Beijing, China;5.28 ;0.93 ;Chinese elite cultivar;
Zhong Huang No.58;;Improved cultivar;Beijing, China;4.86 ;0.92 ;Chinese elite cultivar;
Zhong Huang No.6;;Improved cultivar;Beijing, China;6.64 ;0.94 ;Chinese elite cultivar;
Zhong Huang No.61;;Improved cultivar;Beijing, China;6.97 ;0.95 ;Chinese elite cultivar;
Zhong Huang No.66;;Improved cultivar;Beijing, China;5.76 ;0.93 ;Chinese elite cultivar;
Zhong Huang No.67;;Improved cultivar;Beijing, China;5.19 ;0.94 ;Chinese elite cultivar;
Zhong Ke No.42;;Improved cultivar;Beijing, China;6.12 ;0.94 ;Chinese elite cultivar;
Zhong Pin No.03-5363;;Improved cultivar;Beijing, China;5.95 ;0.94 ;Chinese elite cultivar;
Zhong Pin No.03-5368;;Improved cultivar;Beijing, China;6.23 ;0.94 ;Chinese elite cultivar;
Zhong Pin No.661;;Improved cultivar;Beijing, China;5.25 ;0.95 ;Core collection;ZDD23893
Zhong Sheng Da Jia Zhi Dou;;Landrace;Beijing, China;4.76 ;0.92 ;-;
Zhong Zuo No.5807;;Improved cultivar;Beijing, China;6.38 ;0.94 ;Chinese elite cultivar;
Zhong Zuo No.9056;;Improved cultivar;Beijing, China;5.85 ;0.94 ;Chinese elite cultivar;
Zhong Zuo No.J10153;;Improved cultivar;Beijing, China;4.75 ;0.92 ;Chinese elite cultivar;
Zhong Zuo No.J8035;;Improved cultivar;Tianjin, China;5.80 ;0.94 ;Chinese elite cultivar;
Zhong Zuo No.J9056;;Improved cultivar;Beijing, China;5.76 ;0.94 ;Chinese elite cultivar;
Zhou Dou No.11;;Improved cultivar;Henan, China;4.93 ;0.90 ;Chinese elite cultivar;
Zhou Dou No.12;;Improved cultivar;Henan, China;8.57 ;0.95 ;Chinese elite cultivar;
Zhou Dou No.13;;Improved cultivar;Henan, China;6.66 ;0.94 ;Chinese elite cultivar;
Zhou Dou No.17;;Improved cultivar;Henan, China;5.89 ;0.94 ;Chinese elite cultivar;
Zhou Dou No.18;;Improved cultivar;Henan, China;6.66 ;0.94 ;Chinese elite cultivar;
Zhou Dou No.19;;Improved cultivar;Henan, China;9.65 ;0.81 ;Chinese elite cultivar;
Zhu Ye Qing;;Landrace;Shaanxi, China;5.70 ;0.95 ;-;
Zhu Twinning 2;;Landrace;Beijing, China;11.40 ;0.96 ;-;
Zhu Twinning 3_nonshattering;;Landrace;Beijing, China;10.65 ;0.95 ;-;
Zi Gong Qing Pi Dou;;Landrace;Sichuan, China;5.62 ;0.94 ;-;
Zi Jie Dou;;Landrace;Shanxi, China;6.14 ;0.95 ;-;
Zong Mao Bian Jing;;Landrace;Liaoning, China;5.40 ;0.93 ;-;
Zou Ping Hei Ma Hu Yan;;Landrace;Shandong, China;5.65 ;0.93 ;-;
